symbol,timeframe,n_bars,n_train,n_val,n_test,label_down,label_neutral,label_up,n_buy,n_sell,n_trades,win_rate,net_return,sharpe,max_drawdown,mean_conf,max_conf,pct_pred_down,pct_pred_neutral,pct_pred_up,status,elapsed_s
DOGE/USD,4h,10750,6450,2150,2150,795,4834,821,16,133,54,0.4444,0.1695,1.428,-0.0613,0.3314,0.5905,0.146,0.833,0.02,** STRONG,5.7
BTC/USD,4h,10750,6450,2150,2150,461,5454,535,0,155,54,0.2963,-0.057,-1.38,-0.0681,0.3312,0.6684,0.191,0.807,0.002,- LOSS,4.4
ETH/USD,4h,10750,6450,2150,2150,644,5043,763,0,95,24,0.375,0.025,0.39,-0.0426,0.2776,0.6347,0.137,0.858,0.006,+ MARGINAL,3.6
SOL/USD,4h,10750,6450,2150,2150,1034,4193,1223,171,3,48,0.375,-0.0178,-0.146,-0.0911,0.3551,0.6502,0.069,0.586,0.345,- LOSS,3.7
LINK/USD,4h,10750,6450,2150,2150,942,4460,1048,120,70,64,0.3281,-0.0633,-0.599,-0.1025,0.3617,0.6673,0.159,0.563,0.279,- LOSS,3.9
ARB/USD,4h,6262,3757,1252,1253,487,2792,478,84,41,37,0.2973,-0.026,-0.317,-0.0871,0.3748,0.6391,0.179,0.52,0.302,- LOSS,2.3
