window,n_bars,n_days,n_buy,n_sell,n_trades,win_rate,net_return,sharpe,max_dd,accuracy,mean_conf
TEST (in-distribution),1309,218.0,43,92,41,0.439,0.0388,0.642,-0.0714,0.4087,0.3848
OOT  (out-of-time),4211,702.0,203,99,120,0.3667,-0.1252,-0.271,-0.2307,0.5782,0.3348
