fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,2520,2850,0.8363636363636363,-0.005032922360270641,-1.256810914268405,-0.008763094005413436,0.3333333333333333,3,"[np.float64(0.75), np.float64(0.05), np.float64(0.2)]"
2,330,2850,3180,0.806060606060606,0.015884620461518353,0.8708739295190909,-0.051316333559447376,0.42857142857142855,7,"[np.float64(0.77), np.float64(0.049999999999999906), np.float64(0.18000000000000008)]"
3,660,3180,3510,0.7515151515151515,-0.017444211393059596,-1.9401901065054035,-0.03135390680350498,0.0,2,"[np.float64(0.3500000000000001), np.float64(0.15000000000000005), np.float64(0.49999999999999994)]"
4,990,3510,3840,0.8121212121212121,-0.011482203792337532,-0.8214733938154982,-0.02794094781410931,0.3333333333333333,3,"[np.float64(0.65), np.float64(0.0), np.float64(0.35)]"
5,1320,3840,4170,0.8848484848484849,-0.0011218425718681829,-0.15946053292868148,-0.021642751438152034,0.4,5,"[np.float64(0.7199999999999998), np.float64(0.19999999999999984), np.float64(0.0800000000000004)]"
6,1650,4170,4500,0.7515151515151515,0.03598205678728518,1.7562577033935458,-0.03185603712946885,1.0,1,"[np.float64(0.5), np.float64(0.2), np.float64(0.3)]"
7,1980,4500,4830,0.9666666666666667,-0.011359904832893881,-3.274810286996757,-0.011359904832893881,0.0,2,"[np.float64(0.1), np.float64(0.6000000000000001), np.float64(0.29999999999999993)]"
8,2310,4830,5160,0.8393939393939394,-0.02817223761507703,-4.185798679175156,-0.02862615099399918,0.0,4,"[np.float64(0.0), np.float64(0.5), np.float64(0.5)]"
9,2640,5160,5490,0.693939393939394,0.0039259007384665895,1.0477825860224315,-0.005903398424044826,0.5,2,"[np.float64(0.42), np.float64(0.49), np.float64(0.09000000000000008)]"
10,2970,5490,5820,0.7424242424242424,0.04921168539165938,3.810917904490473,-0.006837305212434723,1.0,3,"[np.float64(0.4899999999999999), np.float64(0.03999999999999987), np.float64(0.47000000000000025)]"
11,3300,5820,6150,0.6,-0.036492698068148095,-1.326903189405357,-0.05792836901139336,0.1111111111111111,9,"[np.float64(0.86), np.float64(0.07999999999999996), np.float64(0.06000000000000005)]"
12,3630,6150,6480,0.8515151515151516,0.02961786877888335,3.0620003029263265,-0.014933571559422532,0.5555555555555556,9,"[np.float64(0.8500000000000001), np.float64(0.0), np.float64(0.1499999999999999)]"
13,3960,6480,6810,0.7545454545454545,-0.016773714728669075,-2.0696860869290385,-0.020459378016069424,0.0,1,"[np.float64(0.3500000000000001), np.float64(0.15000000000000005), np.float64(0.49999999999999994)]"
14,4290,6810,7140,0.8242424242424242,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
15,4620,7140,7470,0.6121212121212121,0.07401314433067437,2.6132200748306476,-0.04947395008500134,0.5714285714285714,7,"[np.float64(0.35000000000000003), np.float64(0.0), np.float64(0.6499999999999999)]"
16,4950,7470,7800,0.5242424242424243,-0.02416044739177396,-1.522022902972884,-0.0393168713884175,0.25,8,"[np.float64(0.4), np.float64(0.05), np.float64(0.5499999999999999)]"
17,5280,7800,8130,0.6151515151515151,-0.05657229128681556,-5.498370068225604,-0.057846599540543685,0.0,3,"[np.float64(0.97), np.float64(0.0), np.float64(0.030000000000000027)]"
18,5610,8130,8460,0.7696969696969697,-0.008287470701441634,-3.417451457719953,-0.008287470701441634,0.0,1,"[np.float64(0.86), np.float64(0.0), np.float64(0.14)]"
19,5940,8460,8790,0.7575757575757576,0.006034890617524979,1.0272330320187033,-0.008570978588840253,0.5,2,"[np.float64(0.15000000000000002), np.float64(0.55), np.float64(0.29999999999999993)]"
20,6270,8790,9120,0.38484848484848483,-0.021416088507927634,-1.0022032429202161,-0.03811924914660848,0.3,10,"[np.float64(0.0), np.float64(0.5), np.float64(0.5)]"
21,6600,9120,9450,0.6060606060606061,-0.01301476227149069,-1.2335699651330856,-0.03344853077896407,0.3333333333333333,6,"[np.float64(1.0), np.float64(0.0), np.float64(0.0)]"
22,6930,9450,9780,0.6393939393939394,-0.036677674047249455,-2.6006980248678713,-0.04492001721568413,0.0,4,"[np.float64(0.7000000000000001), np.float64(0.2), np.float64(0.09999999999999992)]"
23,7260,9780,10110,0.5272727272727272,-0.02417585235634324,-1.7272447456921298,-0.04554268715938648,0.2,5,"[np.float64(0.31), np.float64(0.0), np.float64(0.69)]"
