window,n_bars,n_days,n_buy,n_sell,n_trades,win_rate,net_return,sharpe,max_dd,accuracy,mean_conf
TEST (in-distribution),1309,218.0,62,58,28,0.3929,0.0065,0.157,-0.0597,0.5034,0.3654
OOT  (out-of-time),4211,702.0,212,172,115,0.2783,-0.2867,-0.946,-0.3434,0.473,0.3594
