window,n_bars,n_days,n_buy,n_sell,n_trades,win_rate,net_return,sharpe,max_dd,accuracy,mean_conf
TEST (in-distribution),1309,218.0,18,129,38,0.3947,-0.0201,-0.22,-0.0936,0.3652,0.4143
OOT  (out-of-time),4211,702.0,140,260,124,0.4113,0.338,0.918,-0.1993,0.4605,0.3782
