iter	Accuracy	MultiClass
0	0.4939385512	1.084424925
1	0.4975228914	1.071643277
2	0.5011484308	1.059757824
3	0.5089351008	1.048306458
4	0.5231900627	1.03772753
5	0.5231076641	1.028223343
6	0.522572073	1.019154251
7	0.5242200455	1.010915072
8	0.5251264304	1.003111613
9	0.527721987	0.9960993129
10	0.5270215987	0.9894091665
11	0.5278867843	0.9833130488
12	0.5279279836	0.9777359789
13	0.5273923925	0.972738306
14	0.5273511932	0.9678430445
15	0.5287519698	0.9631157599
16	0.5301527464	0.9585491102
17	0.5304411416	0.9546614363
18	0.5324187086	0.9510680225
19	0.5325011072	0.9476188337
20	0.5325011072	0.9444375535
21	0.5340254818	0.941658721
22	0.5353026604	0.9388342876
23	0.5362914439	0.9360615955
24	0.5364974405	0.9334490782
25	0.5373214267	0.9309821754
26	0.5383926088	0.92865863
27	0.5384750075	0.9266652682
28	0.5383102102	0.9248597231
29	0.5385986054	0.9230108931
30	0.5390517978	0.9215404379
31	0.5403289765	0.9199023542
32	0.5422241449	0.9183557263
33	0.5428421345	0.9170586698
34	0.5454376912	0.9154760558
35	0.547662454	0.9138795573
36	0.5505876052	0.9122725568
37	0.5512467942	0.9111416787
38	0.551617588	0.9102849218
39	0.5519883818	0.9088946498
40	0.5526887701	0.9079924038
41	0.5519059832	0.9071922459
42	0.5519883818	0.9064018237
43	0.5531419625	0.9054588789
