symbol,timeframe,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,n_bars
OP/USD,8h,0.4484848484848485,-0.07733139478428239,-1.3939278347420485,-0.3509563176224367,0.25,11.0,4088
OP/USD,4h,0.44393939393939397,-0.032194966554378514,-1.3529190521721146,-0.360879851466263,0.245,14.0,8170
INJ/USD,4h,0.44242424242424244,-0.07455773124382103,-1.6066077262874505,-0.44662312493324524,0.28409090909090906,12.0,10950
MATIC/USD,2h,0.4303030303030303,-0.03126173642150006,-1.0565090127227714,-0.34042043398284616,0.2777777777777778,11.0,15528
INJ/USD,2h,0.4303030303030303,-0.06182949588654301,-1.4424393176575585,-0.425727632952336,0.23809523809523808,13.0,21896
SOL/USD,4h,0.42424242424242425,-0.015801982591995056,-0.9609273378938459,-0.39875843571088454,0.2957074721780604,15.5,10950
RUNE/USD,2h,0.42424242424242425,-0.018853373106490108,-0.021533880626956957,-0.4499034876034019,0.3333333333333333,15.0,21896
LINK/USD,2h,0.4196969696969697,-0.14632871991780286,-2.924055851516032,-0.34693528845164967,0.25,14.0,21896
ARB/USD,4h,0.41515151515151516,-0.11930442149403371,-5.427048416119516,-0.38292424688363985,0.18181818181818182,9.0,6399
LINK/USD,8h,0.41515151515151516,-0.02159595712292703,-0.1030907770234288,-0.4232389501393578,0.33854166666666663,11.5,5475
RUNE/USD,4h,0.41060606060606064,-0.057139400094166654,-1.4095122943510106,-0.4173830850990886,0.3230550284629981,11.0,10950
OP/USD,2h,0.40984848484848485,0.0,0.0,-0.2421405571385402,0.28043478260869564,9.5,16346
AVAX/USD,8h,0.40909090909090906,-0.01630508222162525,-0.35811246129775254,-0.35095132550911784,0.25,11.0,5475
OP/USD,1h,0.40795454545454546,-0.05920516152708424,-1.2132931263513957,-0.4541969769749132,0.12142857142857143,8.0,32697
INJ/USD,1h,0.4075757575757576,0.0,0.0,-0.3849077670836269,0.3333333333333333,9.0,43787
SOL/USD,8h,0.40606060606060607,-0.0830275562664343,-2.3419905150465588,-0.3296352109278993,0.25,14.0,5475
DOGE/USD,4h,0.40303030303030307,0.0027860444046081284,0.27742821401052215,-0.29335436823063876,0.3875,12.0,10950
XRP/USD,4h,0.40303030303030307,-0.0012809501875718525,0.0,-0.31968574291612856,0.35416666666666663,10.0,10950
DOGE/USD,8h,0.40303030303030307,-0.005592578488324125,-0.06826778549587512,-0.3441941692293748,0.3333333333333333,11.0,5475
LINK/USD,4h,0.403030303030303,-0.07179378842161069,-1.632755869577815,-0.29181907103880816,0.2967032967032967,11.0,10950
RUNE/USD,8h,0.403030303030303,-0.012902679764110053,0.30544387426660197,-0.4119941635775726,0.36904761904761907,10.5,5475
ARB/USD,8h,0.403030303030303,-0.05744646560216588,-0.8292337587081738,-0.23976271057613086,0.2899159663865546,11.5,3203
AVAX/USD,2h,0.4015151515151515,0.010455937230874224,0.6235456388061972,-0.32074369393172764,0.3888888888888889,16.0,21896
ADA/USD,2h,0.4,-0.031327977462586566,-2.356039877338247,-0.3381093944276756,0.25,12.0,21896
AVAX/USD,4h,0.4,-0.0343253578314534,-0.6419822976903045,-0.3371701338725648,0.29273504273504275,10.5,10950
RUNE/USD,1h,0.39924242424242423,0.0,0.0,-0.5419289626218742,0.26666666666666666,11.0,43787
ARB/USD,2h,0.396969696969697,-0.03140797850000017,-2.3243741919657603,-0.3378104877145219,0.2962962962962963,11.0,12803
DOGE/USD,2h,0.396969696969697,-0.11195352780717004,-1.5229012416994028,-0.3944078725970229,0.30434782608695654,16.0,21896
ADA/USD,4h,0.39545454545454545,-0.08575184321319476,-1.5177160382195003,-0.360744070668092,0.3333333333333333,16.0,10950
ARB/USD,1h,0.3946969696969697,-0.05097086632994469,-0.7081288469203821,-0.37072829012961783,0.2777777777777778,14.0,25610
ETH/USD,8h,0.3939393939393939,-0.008074113872308953,0.0,-0.27890888926752927,0.3333333333333333,9.0,5475
ETH/USD,4h,0.3939393939393939,-0.041952586879461705,-1.0682832907863038,-0.30557251545458675,0.25,9.5,10950
SOL/USD,2h,0.3924242424242424,-0.08980512793214275,-1.4784978595994023,-0.31096593114588666,0.3076923076923077,15.0,21896
MATIC/USD,4h,0.39090909090909093,-0.10567352814522692,-3.2673838163782465,-0.27321656003615935,0.2608695652173913,12.0,7766
XRP/USD,2h,0.38636363636363635,-0.07433757673188811,-1.8869085038153046,-0.3788329632499433,0.2727272727272727,10.0,21896
AVAX/USD,1h,0.38257575757575757,-0.0067547828997763645,0.0,-0.405602576222003,0.2727272727272727,11.0,43787
