timestamp,open,high,low,close,volume
2024-01-01 20:00:00,0.62614,0.63118,0.62572,0.62968,1565079.4487800894
2024-01-02 00:00:00,0.62969,0.63576,0.62928,0.63453,2288337.851135331
2024-01-02 04:00:00,0.63444,0.63495,0.62857,0.63152,1254074.5262260304
2024-01-02 08:00:00,0.63153,0.64,0.62968,0.63227,2025018.4656692212
2024-01-02 12:00:00,0.6324,0.6338,0.62262,0.62536,2257346.5553133497
2024-01-02 16:00:00,0.62583,0.629,0.62187,0.6278,1203914.3170609395
2024-01-02 20:00:00,0.62765,0.6292,0.62424,0.62461,1825312.705254638
2024-01-03 00:00:00,0.62462,0.62804,0.62301,0.6262,674947.77821157
2024-01-03 04:00:00,0.62625,0.6394,0.62625,0.6323,1318338.6297370195
2024-01-03 08:00:00,0.63232,0.63634,0.61272,0.61902,2125621.007964502
2024-01-03 12:00:00,0.61914,0.61914,0.45411,0.57729,27695657.755845264
2024-01-03 16:00:00,0.57665,0.58045,0.56747,0.57405,4880146.760868873
2024-01-03 20:00:00,0.57381,0.59032,0.57381,0.58252,2963982.2797008515
2024-01-04 00:00:00,0.5828,0.58356,0.57025,0.58182,823479.3496171699
2024-01-04 04:00:00,0.5816,0.58496,0.57469,0.57496,1805126.0841569903
2024-01-04 08:00:00,0.5761,0.57888,0.57146,0.57708,797761.0419911785
2024-01-04 12:00:00,0.57728,0.58884,0.57605,0.58618,2041925.830706
2024-01-04 16:00:00,0.58618,0.5898,0.5811,0.58748,3584938.541111296
2024-01-04 20:00:00,0.58748,0.59428,0.58588,0.58721,2740593.821886858
2024-01-05 00:00:00,0.5876,0.58915,0.5558,0.57644,2827074.9840891585
2024-01-05 04:00:00,0.57652,0.57847,0.57286,0.57406,1465018.8177419296
2024-01-05 08:00:00,0.57378,0.57942,0.5666,0.56909,923247.2140767616
2024-01-05 12:00:00,0.56909,0.57282,0.56026,0.56368,1643830.9827013642
2024-01-05 16:00:00,0.5637,0.57028,0.55348,0.56802,1866091.32691216
2024-01-05 20:00:00,0.56802,0.57632,0.56801,0.57632,1058810.1851982698
2024-01-06 00:00:00,0.57601,0.57601,0.57147,0.57196,590222.1086930396
2024-01-06 04:00:00,0.57224,0.57385,0.558,0.5647,1186312.6885371
2024-01-06 08:00:00,0.56481,0.56735,0.56202,0.56637,755080.204393451
2024-01-06 12:00:00,0.56637,0.57359,0.5655,0.57121,896261.3150950496
2024-01-06 16:00:00,0.57129,0.57261,0.56745,0.56948,573688.09966912
2024-01-06 20:00:00,0.56979,0.5706,0.56461,0.56829,1367292.1671823624
2024-01-07 00:00:00,0.56764,0.57136,0.56531,0.56687,552657.8051992898
2024-01-07 04:00:00,0.56683,0.57019,0.5658,0.5694,331236.97091659
2024-01-07 08:00:00,0.56942,0.57298,0.56496,0.56669,444395.6239509006
2024-01-07 12:00:00,0.56656,0.57057,0.56419,0.56761,299319.3999474799
2024-01-07 16:00:00,0.56761,0.56859,0.56125,0.56777,1377160.5706395817
2024-01-07 20:00:00,0.56755,0.56791,0.54638,0.55129,1803922.340003882
2024-01-08 00:00:00,0.55131,0.58147,0.5452,0.55985,7390237.044565094
2024-01-08 04:00:00,0.56008,0.56552,0.55434,0.55749,1261813.0940007886
