symbol,timeframe,asset_class,n_models,n_bars,n_train,n_val,n_test,label_down,label_neutral,label_up,n_buy,n_sell,n_trades,win_rate,net_return,sharpe,max_drawdown,mean_conf,status,elapsed_s
BTC/USD,4h,crypto,9,10750,6450,2150,2150,461,5454,535,0,44,19,0.3158,-0.0127,-0.364,-0.0331,0.275,- LOSS,169.8
BTC/USD,8h,crypto,9,5275,3165,1055,1055,131,2887,147,0,0,0,0.0,0.0,0.0,0.0,0.1726,TOO_FEW_TRADES,87.2
BTC/USD,1d,crypto,9,2922,1753,584,585,42,1656,55,0,0,0,0.0,0.0,0.0,0.0,0.0792,TOO_FEW_TRADES,52.8
ETH/USD,4h,crypto,9,10750,6450,2150,2150,644,5043,763,14,0,4,0.25,-0.0109,-0.237,-0.0278,0.2009,TOO_FEW_TRADES,162.4
ETH/USD,8h,crypto,9,5275,3165,1055,1055,194,2758,213,4,0,2,0.0,-0.0273,-1.648,-0.0291,0.1975,TOO_FEW_TRADES,88.6
ETH/USD,1d,crypto,9,2922,1753,584,585,68,1598,87,0,0,0,0.0,0.0,0.0,0.0,0.0906,TOO_FEW_TRADES,53.3
SOL/USD,4h,crypto,9,10750,6450,2150,2150,1034,4193,1223,156,77,63,0.3333,-0.1059,-1.092,-0.1198,0.3585,- LOSS,165.6
SOL/USD,8h,crypto,9,5275,3165,1055,1055,330,2401,434,28,6,10,0.6,0.0467,1.279,-0.0355,0.2764,* GOOD,87.1
SOL/USD,1d,crypto,9,1832,1099,366,367,47,963,89,0,0,0,0.0,0.0,0.0,0.0,0.103,TOO_FEW_TRADES,34.0
XRP/USD,4h,crypto,9,10750,6450,2150,2150,695,5064,691,147,42,55,0.4364,0.0467,0.44,-0.0825,0.3406,* GOOD,163.0
XRP/USD,8h,crypto,9,5275,3165,1055,1055,187,2780,198,0,0,0,0.0,0.0,0.0,0.0,0.243,TOO_FEW_TRADES,86.5
XRP/USD,1d,crypto,9,2662,1597,532,533,54,1472,71,0,1,1,0.0,-0.0173,-0.419,-0.0314,0.146,TOO_FEW_TRADES,47.3
ADA/USD,4h,crypto,9,10750,6450,2150,2150,784,4853,813,107,56,41,0.4146,0.071,0.759,-0.0612,0.3289,* GOOD,163.4
ADA/USD,8h,crypto,9,5275,3165,1055,1055,226,2690,249,10,0,4,0.5,0.0187,0.667,-0.0148,0.21,TOO_FEW_TRADES,86.0
ADA/USD,1d,crypto,9,2679,1607,536,536,67,1430,110,3,1,3,0.3333,0.0165,0.207,-0.0702,0.1302,TOO_FEW_TRADES,54.1
AVAX/USD,4h,crypto,9,10750,6450,2150,2150,1042,4249,1159,110,58,46,0.3261,-0.0261,-0.211,-0.0733,0.3399,- LOSS,162.7
AVAX/USD,8h,crypto,9,5275,3165,1055,1055,323,2453,389,26,5,10,0.4,0.0114,0.287,-0.0586,0.2593,+ MARGINAL,89.5
AVAX/USD,1d,crypto,9,1790,1074,358,358,54,959,61,0,0,0,0.0,0.0,0.0,0.0,0.0978,TOO_FEW_TRADES,30.4
DOT/USD,4h,crypto,9,10750,6450,2150,2150,900,4673,877,80,1,25,0.28,-0.0603,-0.796,-0.1201,0.2597,- LOSS,162.1
MATIC/USD,4h,crypto,9,7506,4503,1501,1502,776,2884,843,117,24,34,0.3529,0.0171,0.292,-0.1149,0.3605,+ MARGINAL,119.4
