fold,symbol,timeframe,window,date_range,n_trades,win_rate,net_return,ann_return,sharpe,calmar,max_dd
1,OP/USD,4h,TEST fold 1,2025-12-21→2026-03-06,8,0.5,0.0238,0.1196,1.466,5.458,-0.0219
1,OP/USD,4h,OOT  fold 1,2024-02-04→2024-05-05,12,0.4167,0.0128,0.0522,0.483,1.276,-0.0409
2,OP/USD,4h,TEST fold 2,2025-10-05→2025-12-20,16,0.4375,0.0125,0.0614,0.565,1.794,-0.0342
2,OP/USD,4h,OOT  fold 2,2024-02-04→2024-05-05,11,0.2727,-0.016,-0.0624,-0.624,-1.782,-0.035
3,OP/USD,4h,TEST fold 3,2025-07-21→2025-10-05,8,0.25,-0.0212,-0.0978,-1.522,-3.226,-0.0303
3,OP/USD,4h,OOT  fold 3,2024-02-04→2024-05-05,18,0.3889,0.0157,0.0641,0.661,1.441,-0.0445
