run,symbol,window,n_trades,win_rate,net_return,ann_return,sharpe,max_dd,mean_conf
1,OP/USD,TEST,18,0.2222,-0.0511,-0.1452,-1.97,-0.0881,0.4147
1,OP/USD,OOT ,20,0.6,0.1275,0.3335,2.354,-0.0392,0.4943
2,OP/USD,TEST,18,0.2222,-0.0511,-0.1452,-1.97,-0.0881,0.4147
2,OP/USD,OOT ,20,0.6,0.1275,0.3335,2.354,-0.0392,0.4943
3,OP/USD,TEST,18,0.2222,-0.0511,-0.1452,-1.97,-0.0881,0.4147
3,OP/USD,OOT ,20,0.6,0.1275,0.3335,2.354,-0.0392,0.4943
4,OP/USD,TEST,18,0.2222,-0.0511,-0.1452,-1.97,-0.0881,0.4147
4,OP/USD,OOT ,20,0.6,0.1275,0.3335,2.354,-0.0392,0.4943
5,OP/USD,TEST,18,0.2222,-0.0511,-0.1452,-1.97,-0.0881,0.4147
5,OP/USD,OOT ,20,0.6,0.1275,0.3335,2.354,-0.0392,0.4943
