symbol,timeframe,asset_class,n_models,n_bars,n_folds,folds_positive,fold_dates,label_down,label_neutral,label_up,n_trades,win_rate,net_return,ann_return,ann_std,sharpe,sortino,calmar,max_drawdown,profit_factor,recovery_factor,payoff_ratio,avg_win,avg_loss,max_consec_losses,trend_wr,range_wr,n_trend_trades,n_range_trades,regime_edge,quality_score,kelly_pct,status,elapsed_s
TIA/USD,1h,crypto,9,9271,3,3,2025-09-13→2025-10-18 | 2025-10-18→2025-11-22 | 2025-11-22→2025-12-27,3320,3371,2580,11,0.4167,0.02,0.0536,0.0301,1.272,0.931,2.746,-0.0182,2.197,1.027,3.488,89.4175,-30.8115,8,0.5333,0.3254,6,6,trend-following,77.2,6.2,** STRONG,372.7
TIA/USD,4h,crypto,9,4577,3,2,2025-06-06→2025-08-13 | 2025-08-14→2025-10-21 | 2025-10-21→2025-12-29,950,2873,754,5,0.4127,0.0089,0.0505,0.0722,1.448,1.161,8.906,-0.012,2.664,1.616,2.834,78.9482,-31.8766,3,0.4444,0.3611,2,3,range-only(36%),70.7,5.1,* GOOD,184.8
TIA/USD,12h,crypto,9,1261,3,0,2025-05-18→2025-07-13 | 2025-07-14→2025-09-08 | 2025-09-08→2025-11-03,112,1044,105,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,-0.4988,1,0.0,0.0,0,0,insufficient,40.0,3.0,TOO_FEW_TRADES,49.3
XLM/USD,1h,crypto,9,9272,3,1,2025-09-13→2025-10-18 | 2025-10-18→2025-11-22 | 2025-11-22→2025-12-27,2688,4448,2136,12,0.3616,-0.0051,-0.0123,0.0608,-0.282,-0.035,1.732,-0.0167,1.319,1.924,1.478,38.0551,-27.214,5,0.2667,0.4593,6,7,mixed,53.3,3.0,- LOSS,369.9
XLM/USD,4h,crypto,9,4578,3,1,2025-06-06→2025-08-14 | 2025-08-14→2025-10-21 | 2025-10-22→2025-12-29,469,3631,478,4,0.4762,-0.0025,-0.0133,0.0215,-0.175,-0.286,-0.074,-0.0132,1.201,0.437,1.27,35.5118,-36.2467,3,0.2778,0.6667,3,2,trend-only(28%),54.7,3.0,- LOSS,185.1
XLM/USD,12h,crypto,9,1261,3,0,2025-05-18→2025-07-13 | 2025-07-14→2025-09-08 | 2025-09-08→2025-11-03,42,1150,69,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,3.0,TOO_FEW_TRADES,50.1
ALGO/USD,1h,crypto,9,9272,3,0,2025-09-13→2025-10-18 | 2025-10-18→2025-11-22 | 2025-11-22→2025-12-27,3055,3782,2435,12,0.3038,-0.01,-0.026,0.0164,-0.727,-0.455,-1.23,-0.0186,0.762,0.473,1.807,60.618,-32.4595,6,0.3148,0.2083,7,5,mixed,42.9,3.0,- LOSS,371.2
ALGO/USD,4h,crypto,9,4578,3,1,2025-06-06→2025-08-14 | 2025-08-14→2025-10-21 | 2025-10-22→2025-12-29,706,3189,683,4,0.3472,-0.0002,-0.001,0.0158,-0.115,-0.056,-0.54,-0.0129,1.694,0.289,1.192,33.1183,-23.4627,4,0.1333,0.3333,2,2,insufficient,53.3,3.0,- LOSS,185.1
ALGO/USD,12h,crypto,9,1261,3,0,2025-05-18→2025-07-13 | 2025-07-14→2025-09-08 | 2025-09-08→2025-11-03,72,1108,81,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,3.0,TOO_FEW_TRADES,50.0
BONK/USD,1h,crypto,9,9271,3,1,2025-09-13→2025-10-18 | 2025-10-18→2025-11-22 | 2025-11-22→2025-12-27,3357,3130,2784,10,0.3218,-0.0067,-0.0166,0.0527,-0.223,0.024,0.696,-0.0206,1.375,0.956,2.481,79.8891,-34.194,5,0.5909,0.2083,5,6,trend-following,52.4,3.0,- LOSS,417.3
BONK/USD,4h,crypto,9,4578,3,2,2025-06-06→2025-08-14 | 2025-08-14→2025-10-21 | 2025-10-22→2025-12-29,967,2707,904,5,0.3778,-0.0062,-0.0307,0.0656,-0.908,-0.212,-0.041,-0.0182,1.064,0.596,1.347,83.3174,-59.3093,3,0.3833,0.3333,4,1,trend-only(38%),55.5,3.0,* GOOD,186.6
BONK/USD,12h,crypto,9,1261,3,1,2025-05-18→2025-07-13 | 2025-07-14→2025-09-08 | 2025-09-08→2025-11-03,123,1006,132,1,0.1667,0.0003,0.0079,0.0745,-0.831,-4.583,1.059,-0.0037,0.681,inf,inf,33.7044,-30.4769,1,0.3333,0.0,0,1,insufficient,46.2,3.0,TOO_FEW_TRADES,49.8
INJ/USD,1h,crypto,9,9272,3,1,2025-09-13→2025-10-18 | 2025-10-18→2025-11-22 | 2025-11-22→2025-12-27,3260,3295,2717,11,0.338,-0.0116,-0.0298,0.0318,-1.1,-0.475,-0.751,-0.0215,0.778,0.681,1.219,36.5314,-30.7998,7,0.2273,0.5333,6,4,mean-reversion,48.0,3.0,- LOSS,374.0
INJ/USD,4h,crypto,9,4578,3,1,2025-06-06→2025-08-14 | 2025-08-14→2025-10-21 | 2025-10-22→2025-12-29,853,2925,800,6,0.281,0.0002,0.0024,0.0518,-0.14,0.136,1.491,-0.0095,1.349,0.973,2.563,53.1829,-20.9424,5,0.6667,0.181,1,5,range-only(18%),52.7,3.0,~ WEAK+,187.1
INJ/USD,12h,crypto,9,1261,3,0,2025-05-18→2025-07-13 | 2025-07-14→2025-09-08 | 2025-09-08→2025-11-03,100,1063,98,0,0.0,-0.0016,-0.0294,0.0416,-1.167,-0.39,-4.165,-0.0024,0.0,inf,inf,0.0,-15.6717,1,0.0,0.0,0,0,insufficient,33.1,3.0,TOO_FEW_TRADES,50.1
NEAR/USD,1h,crypto,9,9272,3,0,2025-09-13→2025-10-18 | 2025-10-18→2025-11-22 | 2025-11-22→2025-12-27,3141,3419,2712,9,0.3102,-0.0122,-0.0317,0.0089,-1.208,-0.624,-1.64,-0.0198,0.464,0.631,1.111,40.0855,-35.8735,5,0.2222,0.2725,1,7,range-only(27%),40.1,3.0,- LOSS,373.7
NEAR/USD,4h,crypto,9,4578,3,0,2025-06-06→2025-08-14 | 2025-08-14→2025-10-21 | 2025-10-22→2025-12-29,769,3024,785,6,0.1944,-0.0125,-0.0644,0.0125,-2.359,-1.364,-3.68,-0.0205,0.309,0.71,0.78,37.1881,-42.7267,4,0.1667,0.25,4,2,trend-only(17%),30.9,3.0,- LOSS,186.5
NEAR/USD,12h,crypto,9,1261,3,0,2025-05-18→2025-07-13 | 2025-07-14→2025-09-08 | 2025-09-08→2025-11-03,85,1082,94,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,-0.4988,1,0.0,0.0,0,0,insufficient,40.0,3.0,TOO_FEW_TRADES,50.2
