symbol,timeframe,asset_class,n_models,n_bars,n_folds,folds_positive,fold_dates,label_down,label_neutral,label_up,n_trades,win_rate,net_return,ann_return,ann_std,sharpe,sortino,calmar,max_drawdown,profit_factor,recovery_factor,payoff_ratio,avg_win,avg_loss,max_consec_losses,trend_wr,range_wr,n_trend_trades,n_range_trades,regime_edge,quality_score,wilcox_p,kelly_pct,status,elapsed_s
DOGE/USD,1d,crypto,9,1909,6,4,2024-11-24→2025-02-16 | 2025-02-17→2025-05-12 | 2025-05-13→2025-08-05 | 2025-08-06→2025-10-29 | 2025-10-30→2026-01-22 | 2026-01-23→2026-04-17,554,862,493,5,0.3681,0.0049,0.16,0.2441,1.57,1.878,8.955,-0.0158,1.236,inf,1.531,78.023,-42.1164,4,0.3681,0.0833,4,1,trend-only(37%),73.8,0.2188,3.0,+ MARGINAL,557.3
BTC/USD,1d,crypto,9,1731,6,3,2025-01-10→2025-03-27 | 2025-03-28→2025-06-12 | 2025-06-13→2025-08-28 | 2025-08-29→2025-11-13 | 2025-11-14→2026-01-29 | 2026-01-30→2026-04-16,322,1030,379,2,0.3056,0.0,0.0043,0.0876,1.205,0.287,12.876,-0.0037,1.177,inf,inf,24.6602,-14.7687,4,0.25,0.0833,2,0,insufficient,62.5,0.4375,3.0,~ WEAK+,507.3
DASH/USD,1d,crypto,9,1732,6,3,2025-01-10→2025-03-27 | 2025-03-28→2025-06-12 | 2025-06-13→2025-08-28 | 2025-08-29→2025-11-13 | 2025-11-14→2026-01-29 | 2026-01-30→2026-04-16,496,751,485,2,0.375,0.0013,0.0635,0.2373,0.595,0.593,5.785,-0.0132,9102932300.808,inf,inf,74.3414,-42.5467,3,0.2083,0.1667,2,0,insufficient,61.9,0.5,3.0,+ MARGINAL,527.0
ALGO/USD,1d,crypto,9,1909,6,2,2024-11-24→2025-02-16 | 2025-02-17→2025-05-12 | 2025-05-13→2025-08-05 | 2025-08-06→2025-10-29 | 2025-10-30→2026-01-22 | 2026-01-23→2026-04-17,594,777,538,4,0.3139,-0.0012,-0.0174,0.1659,-0.029,-0.082,0.4,-0.0118,0.959,inf,inf,75.8899,-47.2987,3,0.3028,0.0833,3,0,trend-only(30%),52.7,0.6875,3.0,- LOSS,617.9
CRV/USD,1d,crypto,9,1839,6,1,2024-12-12→2025-03-03 | 2025-03-04→2025-05-24 | 2025-05-25→2025-08-14 | 2025-08-15→2025-11-04 | 2025-11-05→2026-01-25 | 2026-01-26→2026-04-17,614,660,565,2,0.2,-0.0044,-0.1013,0.1335,-1.967,-1.571,-7.422,-0.0081,0.223,inf,inf,20.6051,-39.2373,4,0.1389,0.0833,1,1,insufficient,34.7,0.9375,3.0,- LOSS,643.3
RUNE/USD,1d,crypto,9,1242,6,0,2025-05-22→2025-07-15 | 2025-07-16→2025-09-08 | 2025-09-09→2025-11-02 | 2025-11-03→2025-12-27 | 2025-12-28→2026-02-20 | 2026-02-21→2026-04-16,399,475,368,1,0.0238,-0.0035,-0.1048,0.1868,-2.084,-2.532,-6.71,-0.0056,0.029,inf,inf,6.1374,-11.2003,6,0.0238,0.0,1,0,insufficient,27.3,1.0,3.0,TOO_FEW_TRADES,392.5
