symbol,timeframe,asset_class,n_models,n_bars,n_folds,folds_positive,fold_dates,label_down,label_neutral,label_up,n_trades,win_rate,net_return,ann_return,ann_std,sharpe,sortino,calmar,max_drawdown,profit_factor,recovery_factor,payoff_ratio,avg_win,avg_loss,max_consec_losses,trend_wr,range_wr,n_trend_trades,n_range_trades,regime_edge,quality_score,wilcox_p,kelly_pct,status,elapsed_s
ARB/USD,4h,crypto,9,4804,6,0,2025-09-10→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,1022,2927,855,1,0.1111,-0.0002,-0.0021,0.0031,-0.123,-0.055,-0.454,-0.0016,0.285,inf,inf,8.9479,-5.2366,2,0.1389,0.0,1,0,insufficient,42.0,1.0,3.0,TOO_FEW_TRADES,53.7
S/USD,1h,crypto,9,6069,6,0,2025-11-15→2025-11-26 | 2025-11-26→2025-12-08 | 2025-12-08→2025-12-19 | 2025-12-19→2025-12-31 | 2025-12-31→2026-04-01 | 2026-04-01→2026-04-15,2493,1927,1649,1,0.1111,-0.0001,-0.0012,0.0017,-0.161,-0.071,-0.592,-0.0007,0.275,inf,inf,4.7079,-2.8538,2,0.0556,0.0833,1,0,insufficient,41.9,1.0,3.0,TOO_FEW_TRADES,1168.6
UNI/USD,1h,crypto,9,18011,6,0,2025-07-12→2025-08-14 | 2025-08-15→2025-09-17 | 2025-09-17→2025-10-21 | 2025-10-21→2025-11-24 | 2025-11-24→2025-12-28 | 2025-12-28→2026-04-15,6150,6179,5682,4,0.0847,-0.0013,-0.0034,0.0048,-0.256,-0.159,-0.343,-0.0034,0.234,inf,inf,9.2092,-4.4449,7,0.0893,0.0833,3,1,trend-only(9%),41.9,1.0,3.0,TOO_FEW_TRADES,3823.2
LINK/USD,1h,crypto,9,18017,6,0,2025-07-12→2025-08-14 | 2025-08-14→2025-09-17 | 2025-09-17→2025-10-21 | 2025-10-21→2025-11-24 | 2025-11-24→2025-12-28 | 2025-12-28→2026-04-15,5924,6391,5702,3,0.0995,-0.001,-0.0026,0.0041,-0.367,-0.185,-0.459,-0.0018,0.194,inf,inf,4.6522,-3.5653,5,0.037,0.1,2,1,insufficient,41.4,1.0,3.0,TOO_FEW_TRADES,3831.4
XTZ/USD,1h,crypto,9,17829,6,0,2025-07-13→2025-08-16 | 2025-08-16→2025-09-18 | 2025-09-18→2025-10-22 | 2025-10-22→2025-11-24 | 2025-11-24→2025-12-28 | 2025-12-28→2026-04-15,5657,6990,5182,6,0.2114,-0.0018,-0.005,0.0053,-0.89,-0.373,-1.003,-0.004,0.465,inf,inf,10.215,-8.2547,4,0.281,0.0333,5,1,trend-only(28%),41.2,1.0,3.0,TOO_FEW_TRADES,3887.2
SOL/USD,1h,crypto,9,18019,6,0,2025-07-12→2025-08-14 | 2025-08-15→2025-09-17 | 2025-09-17→2025-10-21 | 2025-10-21→2025-11-24 | 2025-11-24→2025-12-28 | 2025-12-28→2026-04-14,5655,6700,5664,3,0.0521,-0.0009,-0.0025,0.0057,-0.296,-0.2,-0.407,-0.001,0.086,inf,inf,1.8959,-1.6739,4,0.0556,0.0417,2,1,insufficient,41.0,1.0,3.0,TOO_FEW_TRADES,3814.8
SOL/USD,4h,crypto,9,4801,6,1,2025-09-09→2025-10-15 | 2025-10-15→2025-11-20 | 2025-11-21→2025-12-26 | 2025-12-27→2026-01-31 | 2026-02-01→2026-03-08 | 2026-03-09→2026-04-13,836,3088,877,2,0.2361,-0.0006,-0.0056,0.0225,-1.452,-0.405,-3.661,-0.0047,0.564,0.479,0.691,14.2183,-21.9028,3,0.2083,0.1667,2,1,insufficient,41.0,0.8438,3.0,TOO_FEW_TRADES,52.5
SNX/USD,1h,crypto,9,17434,6,0,2025-07-11→2025-08-13 | 2025-08-13→2025-09-16 | 2025-09-16→2025-10-19 | 2025-10-19→2025-11-21 | 2025-11-21→2025-12-24 | 2025-12-24→2026-04-15,6721,5203,5510,3,0.0392,-0.0007,-0.002,0.0045,-0.281,-0.147,-0.379,-0.0009,0.098,inf,inf,2.0459,-1.0758,4,0.0513,0.0,2,1,insufficient,40.9,1.0,3.0,TOO_FEW_TRADES,3911.4
S/USD,4h,crypto,9,1862,6,0,2026-01-21→2026-02-04 | 2026-02-04→2026-02-17 | 2026-02-18→2026-03-03 | 2026-03-03→2026-03-17 | 2026-03-17→2026-03-31 | 2026-03-31→2026-04-14,458,1095,309,0,0.0833,-0.0001,-0.0023,0.0035,-0.122,-0.074,-0.845,-0.0009,0.147,inf,inf,2.1575,-3.102,1,0.0833,0.0,0,0,insufficient,40.7,1.0,3.0,TOO_FEW_TRADES,17.4
ETH/USD,1d,crypto,9,1729,6,1,2025-01-07→2025-03-24 | 2025-03-25→2025-06-09 | 2025-06-10→2025-08-25 | 2025-08-26→2025-11-10 | 2025-11-11→2026-01-26 | 2026-01-27→2026-04-13,137,1443,149,0,0.0833,-0.0003,-0.0068,0.0525,-0.766,-0.151,-1.145,-0.0014,0.336,inf,inf,8.1222,-10.749,1,0.0833,0.0,0,0,insufficient,40.6,0.75,3.0,TOO_FEW_TRADES,332.8
