run,symbol,window,n_trades,win_rate,net_return,ann_return,sharpe,max_dd,mean_conf
1,XMR/USD,TEST,2,0.5,0.0226,0.0692,1.701,-0.0185,0.1916
1,XMR/USD,OOT ,11,0.5455,0.0399,0.0984,0.995,-0.033,0.2399
2,XMR/USD,TEST,2,0.5,0.0226,0.0692,1.701,-0.0185,0.1916
2,XMR/USD,OOT ,11,0.5455,0.0399,0.0984,0.995,-0.033,0.2399
3,XMR/USD,TEST,2,0.5,0.0226,0.0692,1.701,-0.0185,0.1916
3,XMR/USD,OOT ,11,0.5455,0.0399,0.0984,0.995,-0.033,0.2399
4,XMR/USD,TEST,2,0.5,0.0226,0.0692,1.701,-0.0185,0.1916
4,XMR/USD,OOT ,11,0.5455,0.0399,0.0984,0.995,-0.033,0.2399
5,XMR/USD,TEST,2,0.5,0.0226,0.0692,1.701,-0.0185,0.1916
5,XMR/USD,OOT ,11,0.5455,0.0399,0.0984,0.995,-0.033,0.2399
