symbol,timeframe,asset_class,n_models,n_bars,n_folds,folds_positive,fold_dates,label_down,label_neutral,label_up,n_trades,win_rate,net_return,ann_return,ann_std,sharpe,sortino,calmar,max_drawdown,profit_factor,recovery_factor,payoff_ratio,avg_win,avg_loss,max_consec_losses,trend_wr,range_wr,n_trend_trades,n_range_trades,regime_edge,quality_score,wilcox_p,kelly_pct,status,elapsed_s
ETH/USD,4h,crypto,9,4793,6,4,? | ? | ? | ? | ? | ?,635,3508,650,3,0.4861,0.0018,0.0186,0.0327,0.947,0.643,9.611,-0.0022,12634003765.512,inf,inf,20.0579,-9.1513,2,0.25,0.25,2,1,insufficient,68.4,0.1562,3.0,TOO_FEW_TRADES,743.1
BTC/USD,4h,crypto,9,4793,6,1,? | ? | ? | ? | ? | ?,331,4046,416,1,0.0556,-0.0001,-0.0005,0.0015,-0.099,-0.039,-0.22,-0.0005,0.202,inf,inf,1.9577,-1.5188,1,0.0,0.0833,0,0,insufficient,44.6,0.75,3.0,TOO_FEW_TRADES,780.4
