symbol,timeframe,asset_class,n_models,n_bars,n_folds,folds_positive,fold_dates,label_down,label_neutral,label_up,n_trades,win_rate,net_return,ann_return,ann_std,sharpe,sortino,calmar,max_drawdown,profit_factor,recovery_factor,payoff_ratio,avg_win,avg_loss,max_consec_losses,trend_wr,range_wr,n_trend_trades,n_range_trades,regime_edge,quality_score,wilcox_p,kelly_pct,status,elapsed_s
GBP/USD,1d,forex,9,1730,6,0,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,0,1730,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,555.0
AUD/USD,4h,forex,9,4805,6,0,2025-09-10→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,5,4797,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,905.8
AUD/USD,1d,forex,9,1730,6,0,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,2,1727,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,318.7
CRV/USD,4h,crypto,9,4804,6,1,2025-09-10→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,1003,2788,1013,3,0.2333,-0.0027,-0.0248,0.0659,-1.828,-1.004,-2.188,-0.0069,0.736,inf,inf,24.8289,-23.8492,4,0.325,0.1667,2,1,insufficient,38.7,0.8438,3.0,TOO_FEW_TRADES,1078.4
POL/USD,4h,crypto,9,3732,6,1,2025-10-29→2025-11-25 | 2025-11-26→2025-12-23 | 2025-12-23→2026-01-20 | 2026-01-20→2026-02-17 | 2026-02-17→2026-03-17 | 2026-03-17→2026-04-14,738,2392,602,2,0.0833,-0.0014,-0.0171,0.0387,-1.46,-0.45,-3.387,-0.0021,0.25,inf,inf,3.5492,-7.9402,4,0.0,0.0833,1,1,insufficient,38.2,0.875,3.0,TOO_FEW_TRADES,886.9
COMP/USD,1d,crypto,9,1730,6,0,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,200,1333,197,0,0.0,-0.0005,-0.0147,0.0328,-0.511,-0.246,-1.883,-0.0013,0.0,inf,inf,0.0,-5.5523,1,0.0,0.0,0,0,insufficient,36.9,1.0,3.0,TOO_FEW_TRADES,451.2
DASH/USD,1d,crypto,9,1730,6,1,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,202,1346,182,1,0.1667,-0.0022,-0.0556,0.0884,-1.809,-0.696,-5.431,-0.0038,1414046726.38,inf,inf,1.414,-17.8933,2,0.1667,0.0,0,0,insufficient,36.0,0.875,3.0,TOO_FEW_TRADES,428.1
ETC/USD,1d,crypto,9,1730,6,0,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,160,1398,172,0,0.0,-0.0008,-0.0221,0.0495,-0.852,-0.261,-3.2,-0.0012,0.0,inf,inf,0.0,-8.2454,1,0.0,0.0,0,0,insufficient,35.0,1.0,3.0,TOO_FEW_TRADES,433.1
AVAX/USD,4h,crypto,9,4802,6,0,2025-09-10→2025-10-15 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,951,2929,922,2,0.0476,-0.0009,-0.0095,0.0075,-1.436,-0.409,-3.41,-0.0025,0.154,inf,inf,5.5738,-10.2763,4,0.0278,0.1667,1,0,insufficient,34.6,1.0,3.0,TOO_FEW_TRADES,1143.6
SOL/USD,1d,crypto,9,1562,6,0,2025-02-18→2025-04-28 | 2025-04-29→2025-07-07 | 2025-07-08→2025-09-15 | 2025-09-16→2025-11-24 | 2025-11-25→2026-02-02 | 2026-02-03→2026-04-13,174,1176,212,0,0.0,-0.0009,-0.0271,0.0606,-1.163,-0.304,-4.511,-0.001,0.0,inf,inf,0.0,-9.3365,1,0.0,0.0,0,0,insufficient,33.3,1.0,3.0,TOO_FEW_TRADES,400.7
XMR/USD,1d,crypto,9,1730,6,0,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,132,1476,122,0,0.0,-0.0016,-0.043,0.0608,-1.218,-0.65,-5.44,-0.0028,0.0,inf,inf,0.0,-12.0815,2,0.0,0.0,0,0,insufficient,32.4,1.0,3.0,TOO_FEW_TRADES,404.9
BCH/USD,1d,crypto,9,1728,6,0,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,148,1415,165,0,0.0,-0.0004,-0.0103,0.023,-1.469,-0.677,-4.598,-0.0004,0.0,inf,inf,0.0,-3.8184,1,0.0,0.0,0,0,insufficient,32.3,1.0,3.0,TOO_FEW_TRADES,492.5
LTC/USD,4h,crypto,9,4802,6,0,2025-09-10→2025-10-15 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,636,3526,640,0,0.0,-0.0011,-0.0106,0.0137,-1.522,-0.57,-3.638,-0.0014,0.0,inf,inf,0.0,-10.3675,1,0.0,0.0,0,0,insufficient,32.0,1.0,3.0,TOO_FEW_TRADES,1095.1
ETC/USD,4h,crypto,9,4802,6,0,2025-09-10→2025-10-15 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,751,3355,696,2,0.0556,-0.0018,-0.0182,0.0189,-2.062,-0.747,-4.587,-0.0025,0.118,inf,inf,3.5167,-10.4333,3,0.0556,0.0,1,0,insufficient,31.3,1.0,3.0,TOO_FEW_TRADES,1107.0
NEAR/USD,4h,crypto,9,4803,6,0,2025-09-10→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,1015,2782,1006,3,0.1,-0.0048,-0.047,0.0445,-2.206,-1.519,-4.315,-0.0079,0.164,inf,inf,10.8017,-18.0329,4,0.1,0.0,3,0,trend-only(10%),30.5,1.0,3.0,TOO_FEW_TRADES,1128.6
