symbol,timeframe,asset_class,n_models,n_bars,n_folds,folds_positive,fold_dates,label_down,label_neutral,label_up,n_trades,win_rate,net_return,ann_return,ann_std,sharpe,sortino,calmar,max_drawdown,profit_factor,recovery_factor,payoff_ratio,avg_win,avg_loss,max_consec_losses,trend_wr,range_wr,n_trend_trades,n_range_trades,regime_edge,quality_score,wilcox_p,kelly_pct,status,elapsed_s
ETH/USD,1d,crypto,9,1729,6,1,2025-01-07→2025-03-24 | 2025-03-25→2025-06-09 | 2025-06-10→2025-08-25 | 2025-08-26→2025-11-10 | 2025-11-11→2026-01-26 | 2026-01-27→2026-04-13,137,1443,149,0,0.1667,0.0008,0.0245,0.0548,1.016,0.644,18.889,-0.0002,8142278957.481,inf,inf,8.1423,0.0,0,0.1667,0.0,0,0,insufficient,51.9,0.5,3.0,TOO_FEW_TRADES,349.0
DOGE/USD,1d,crypto,9,1730,6,1,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,180,1362,188,0,0.1667,0.001,0.0299,0.0668,0.719,0.719,4.961,-0.001,9619739671.668,inf,inf,9.6197,0.0,0,0.1667,0.0,0,0,insufficient,50.6,0.5,3.0,TOO_FEW_TRADES,455.3
UNI/USD,1d,crypto,9,1730,6,1,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,217,1302,211,0,0.1667,0.0009,0.0262,0.0587,0.73,0.454,7.688,-0.0006,8525795486.522,inf,inf,8.5258,0.0,0,0.0,0.1667,0,0,insufficient,50.6,0.5,3.0,TOO_FEW_TRADES,450.9
ADA/USD,1d,crypto,9,1730,6,1,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,164,1393,173,0,0.1667,0.0005,0.0138,0.0308,0.487,0.326,2.354,-0.001,4591962750.575,inf,inf,4.592,0.0,0,0.0,0.1667,0,0,insufficient,48.9,0.5,3.0,TOO_FEW_TRADES,484.7
CRV/USD,1d,crypto,9,1730,6,1,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,253,1196,281,0,0.0833,0.0008,0.0241,0.0538,0.58,0.231,3.791,-0.0011,0.349,inf,inf,15.4922,-7.4024,1,0.0,0.0833,0,0,insufficient,48.3,0.5,3.0,TOO_FEW_TRADES,443.0
ATOM/USD,1d,crypto,9,1730,6,2,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,191,1343,196,0,0.3333,-0.0007,-0.0174,0.0456,-0.704,0.08,-2.995,-0.0019,685028982.165,inf,inf,0.685,-7.3126,1,0.1667,0.1667,0,0,insufficient,48.1,0.625,3.0,TOO_FEW_TRADES,439.2
ATOM/USD,4h,crypto,9,4802,6,1,2025-09-10→2025-10-15 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,790,3271,741,1,0.1667,-0.0007,-0.0065,0.0181,0.121,-0.493,340.141,-0.0019,3426471771.855,inf,inf,3.4265,-6.9343,2,0.0,0.1667,0,0,insufficient,47.3,0.875,3.0,TOO_FEW_TRADES,1131.7
LTC/USD,1d,crypto,9,1730,6,1,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,158,1424,148,0,0.1667,0.0002,0.0055,0.0123,0.176,0.189,1.094,-0.0008,1820688714.503,inf,inf,1.8207,0.0,0,0.1667,0.0,0,0,insufficient,47.1,0.5,3.0,TOO_FEW_TRADES,473.4
BTC/USD,4h,crypto,9,4801,6,1,2025-09-09→2025-10-15 | 2025-10-15→2025-11-20 | 2025-11-21→2025-12-26 | 2025-12-27→2026-01-31 | 2026-02-01→2026-03-08 | 2026-03-09→2026-04-13,332,4052,417,1,0.2222,-0.0003,-0.0027,0.0113,-0.484,-0.041,-1.208,-0.0013,2475598632.958,inf,inf,4.5737,-4.4113,2,0.1667,0.0833,0,0,insufficient,45.4,0.75,3.0,TOO_FEW_TRADES,991.1
XLM/USD,1d,crypto,9,1730,6,1,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,142,1428,160,0,0.1667,-0.0001,-0.001,0.0633,-0.133,0.219,4.148,-0.0012,5878172740.612,inf,inf,5.8782,-6.8925,1,0.1667,0.0,0,0,insufficient,45.4,0.75,3.0,TOO_FEW_TRADES,453.5
COMP/USD,4h,crypto,9,4793,6,1,2025-09-11→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,824,3180,789,1,0.1667,-0.0004,-0.004,0.0281,-0.437,-0.33,-0.25,-0.0026,7634562072.476,inf,inf,7.6346,-9.2928,2,0.1667,0.0,0,0,insufficient,44.6,0.625,3.0,TOO_FEW_TRADES,1142.4
BCH/USD,4h,crypto,9,4802,6,1,2025-09-10→2025-10-15 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,670,3423,709,1,0.25,-0.0008,-0.0084,0.0181,-0.715,0.743,3.791,-0.0021,3690167061.501,inf,inf,4.0012,-8.7495,2,0.25,0.0,1,0,insufficient,44.4,0.8438,3.0,TOO_FEW_TRADES,1143.4
XTZ/USD,4h,crypto,9,4803,6,1,2025-09-10→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,787,3309,707,1,0.125,-0.0012,-0.012,0.0311,-0.372,-0.265,-0.239,-0.0019,0.327,inf,inf,7.5646,-7.934,2,0.0833,0.0833,1,0,insufficient,44.0,0.75,3.0,TOO_FEW_TRADES,1160.1
XTZ/USD,1d,crypto,9,1730,6,1,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,190,1373,167,0,0.1667,-0.0005,-0.0118,0.0449,-0.399,-0.419,-1.551,-0.0025,2784196627.676,inf,inf,2.7842,-7.5442,1,0.1667,0.0,0,0,insufficient,43.6,0.75,3.0,TOO_FEW_TRADES,491.0
XRP/USD,1d,crypto,9,1727,6,1,2025-01-07→2025-03-24 | 2025-03-25→2025-06-09 | 2025-06-10→2025-08-25 | 2025-08-26→2025-11-10 | 2025-11-11→2026-01-26 | 2026-01-27→2026-04-13,141,1435,151,0,0.1667,-0.0003,-0.0063,0.0808,-0.657,0.003,2.935,-0.0022,7385027684.8,inf,inf,7.385,-10.9647,1,0.1667,0.0,0,0,insufficient,42.5,0.75,3.0,TOO_FEW_TRADES,482.2
ARB/USD,4h,crypto,9,4804,6,0,2025-09-10→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,1022,2927,855,1,0.1111,-0.0002,-0.0021,0.0031,-0.123,-0.055,-0.454,-0.0016,0.285,inf,inf,8.9479,-5.2366,2,0.1389,0.0,1,0,insufficient,42.0,1.0,3.0,TOO_FEW_TRADES,1121.2
SOL/USD,4h,crypto,9,4801,6,1,2025-09-09→2025-10-15 | 2025-10-15→2025-11-20 | 2025-11-21→2025-12-26 | 2025-12-27→2026-01-31 | 2026-02-01→2026-03-08 | 2026-03-09→2026-04-13,836,3088,877,2,0.2361,-0.0006,-0.0056,0.0225,-1.452,-0.405,-3.661,-0.0047,0.564,0.479,0.691,14.2183,-21.9028,3,0.2083,0.1667,2,1,insufficient,41.0,0.8438,3.0,TOO_FEW_TRADES,775.8
S/USD,4h,crypto,9,1862,6,0,2026-01-21→2026-02-04 | 2026-02-04→2026-02-17 | 2026-02-18→2026-03-03 | 2026-03-03→2026-03-17 | 2026-03-17→2026-03-31 | 2026-03-31→2026-04-14,458,1095,309,0,0.0833,-0.0001,-0.0023,0.0035,-0.122,-0.074,-0.845,-0.0009,0.147,inf,inf,2.1575,-3.102,1,0.0833,0.0,0,0,insufficient,40.7,1.0,3.0,TOO_FEW_TRADES,474.4
MKR/USD,4h,crypto,9,3080,6,2,2025-02-13→2025-03-07 | 2025-03-08→2025-03-30 | 2025-03-31→2025-04-22 | 2025-04-23→2025-05-15 | 2025-05-16→2025-06-07 | 2025-06-08→2025-06-30,591,1911,578,2,0.3333,-0.0034,-0.0491,0.0915,-2.228,-2.168,1.12,-0.0059,8172258384.82,inf,inf,12.6713,-18.9172,3,0.2083,0.125,1,1,insufficient,40.6,0.9062,3.0,TOO_FEW_TRADES,748.3
ADA/USD,4h,crypto,9,4801,6,1,2025-09-09→2025-10-15 | 2025-10-15→2025-11-20 | 2025-11-21→2025-12-26 | 2025-12-27→2026-01-31 | 2026-02-01→2026-03-08 | 2026-03-09→2026-04-13,850,3147,804,2,0.2222,-0.0014,-0.0142,0.0298,-1.536,-0.605,0.643,-0.0037,6539880911.318,inf,inf,9.9402,-12.4107,3,0.0556,0.1667,1,1,insufficient,40.1,0.9062,3.0,TOO_FEW_TRADES,1135.3
BTC/USD,1d,crypto,9,1728,6,0,2025-01-07→2025-03-24 | 2025-03-25→2025-06-09 | 2025-06-10→2025-08-25 | 2025-08-26→2025-11-10 | 2025-11-11→2026-01-26 | 2026-01-27→2026-04-13,81,1544,103,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,330.8
AVAX/USD,1d,crypto,9,1376,6,0,2025-04-14→2025-06-13 | 2025-06-14→2025-08-13 | 2025-08-14→2025-10-13 | 2025-10-14→2025-12-13 | 2025-12-14→2026-02-12 | 2026-02-13→2026-04-14,138,1069,169,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,400.6
DOT/USD,1d,crypto,9,1730,6,0,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,172,1386,172,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,446.3
POL/USD,1d,crypto,9,564,6,0,2025-10-17→2025-11-15 | 2025-11-16→2025-12-15 | 2025-12-16→2026-01-14 | 2026-01-15→2026-02-13 | 2026-02-14→2026-03-15 | 2026-03-16→2026-04-14,60,444,60,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,217.0
NEAR/USD,1d,crypto,9,1199,6,0,2025-06-01→2025-07-23 | 2025-07-24→2025-09-14 | 2025-09-15→2025-11-06 | 2025-11-07→2025-12-29 | 2025-12-30→2026-02-20 | 2026-02-21→2026-04-14,140,891,168,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,328.4
EOS/USD,1d,crypto,9,1618,6,0,2024-04-25→2024-07-05 | 2024-07-06→2024-09-15 | 2024-09-16→2024-11-26 | 2024-11-27→2025-02-06 | 2025-02-07→2025-04-19 | 2025-04-20→2025-06-30,189,1251,178,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,395.0
MKR/USD,1d,crypto,9,1309,6,0,2024-07-18→2024-09-13 | 2024-09-14→2024-11-10 | 2024-11-11→2025-01-07 | 2025-01-08→2025-03-06 | 2025-03-07→2025-05-03 | 2025-05-04→2025-06-30,155,1003,151,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,362.2
