fold,symbol,timeframe,window,date_range,n_trades,win_rate,net_return,ann_return,sharpe,calmar,max_dd
1,EOS/USD,30m,TEST fold 1,2025-06-12→2025-06-30,5,0.4,-0.0099,-0.1951,-1.236,-7.018,-0.0278
1,EOS/USD,30m,OOT  fold 1,2025-01-06→2025-01-27,5,0.8,0.0439,1.1809,5.059,73.046,-0.0162
2,EOS/USD,30m,TEST fold 2,2025-05-26→2025-06-12,7,0.4286,0.0095,0.2277,1.243,7.391,-0.0308
2,EOS/USD,30m,OOT  fold 2,2025-01-06→2025-01-27,9,0.4444,0.0153,0.3182,2.057,6.892,-0.0462
3,EOS/USD,30m,TEST fold 3,2025-05-09→2025-05-26,8,0.625,0.033,1.0305,4.703,55.598,-0.0185
3,EOS/USD,30m,OOT  fold 3,2025-01-06→2025-01-27,8,0.5,0.0238,0.5326,3.194,12.653,-0.0421
