fold,symbol,timeframe,window,date_range,n_trades,win_rate,net_return,ann_return,sharpe,calmar,max_dd
1,XMR/USD,4h,TEST fold 1,2025-12-21→2026-03-06,4,0.25,-0.0107,-0.0503,-0.908,-2.595,-0.0194
1,XMR/USD,4h,OOT  fold 1,2024-02-04→2024-05-05,2,0.5,0.0059,0.0236,0.592,1.649,-0.0143
2,XMR/USD,4h,TEST fold 2,2025-10-05→2025-12-20,4,0.0,-0.0327,-0.1474,-1.456,-3.777,-0.039
2,XMR/USD,4h,OOT  fold 2,2024-02-04→2024-05-05,2,0.5,0.0059,0.0236,0.566,1.371,-0.0172
3,XMR/USD,4h,TEST fold 3,2025-07-21→2025-10-05,6,0.5,0.0262,0.1321,1.907,6.125,-0.0216
3,XMR/USD,4h,OOT  fold 3,2024-02-04→2024-05-05,7,0.8571,0.0794,0.3569,4.675,20.7,-0.0172
