run,symbol,window,n_trades,win_rate,net_return,ann_return,sharpe,max_dd,mean_conf
1,LTC/USD,TEST,28,0.4286,-0.0232,-0.1295,-1.697,-0.0599,0.4983
1,LTC/USD,OOT ,43,0.4186,0.0221,0.1087,0.795,-0.0508,0.5686
2,LTC/USD,TEST,28,0.4286,-0.0232,-0.1295,-1.697,-0.0599,0.4983
2,LTC/USD,OOT ,43,0.4186,0.0221,0.1087,0.795,-0.0508,0.5686
3,LTC/USD,TEST,28,0.4286,-0.0232,-0.1295,-1.697,-0.0599,0.4983
3,LTC/USD,OOT ,43,0.4186,0.0221,0.1087,0.795,-0.0508,0.5686
4,LTC/USD,TEST,28,0.4286,-0.0232,-0.1295,-1.697,-0.0599,0.4983
4,LTC/USD,OOT ,43,0.4186,0.0221,0.1087,0.795,-0.0508,0.5686
5,LTC/USD,TEST,28,0.4286,-0.0232,-0.1295,-1.697,-0.0599,0.4983
5,LTC/USD,OOT ,43,0.4186,0.0221,0.1087,0.795,-0.0508,0.5686
