run,symbol,window,n_trades,win_rate,net_return,sharpe,max_dd,mean_conf
1,LINK/USD,TEST,2,0.5,0.0055,0.142,-0.0382,0.2057
1,LINK/USD,OOT ,2,0.5,0.0133,0.499,-0.0136,0.1999
2,LINK/USD,TEST,2,0.5,0.0055,0.142,-0.0382,0.2057
2,LINK/USD,OOT ,2,0.5,0.0133,0.499,-0.0136,0.1999
3,LINK/USD,TEST,2,0.5,0.0055,0.142,-0.0382,0.2057
3,LINK/USD,OOT ,2,0.5,0.0133,0.499,-0.0136,0.1999
4,LINK/USD,TEST,2,0.5,0.0055,0.142,-0.0382,0.2057
4,LINK/USD,OOT ,2,0.5,0.0133,0.499,-0.0136,0.1999
5,LINK/USD,TEST,2,0.5,0.0055,0.142,-0.0382,0.2057
5,LINK/USD,OOT ,2,0.5,0.0133,0.499,-0.0136,0.1999
