symbol,timeframe,asset_class,n_models,n_bars,n_train,n_val,n_test,label_down,label_neutral,label_up,n_buy,n_sell,n_trades,win_rate,net_return,ann_return,sharpe,max_drawdown,mean_conf,status,elapsed_s
BTC/USD,15m,crypto,9,17760,10656,3552,3552,2991,3904,3761,524,0,105,0.1905,-0.1155,-0.7019,-4.352,-0.1488,0.8156,- LOSS,296.7
BTC/USD,30m,crypto,9,9157,5494,1831,1832,1132,2704,1658,240,15,7,0.4286,0.0099,0.0984,0.732,-0.0227,0.655,+ MARGINAL,152.7
BTC/USD,1h,crypto,9,9272,5563,1854,1855,752,3949,862,175,6,39,0.2821,-0.0694,-0.2878,-4.603,-0.0867,0.4473,- LOSS,154.9
BTC/USD,4h,crypto,9,4565,2739,913,913,146,2378,215,19,0,6,0.1667,-0.0262,-0.0616,-1.145,-0.0344,0.1823,- LOSS,83.0
BTC/USD,12h,crypto,9,1260,756,252,252,8,731,17,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0135,TOO_FEW_TRADES,43.6
BTC/USD,1d,crypto,9,960,576,192,192,3,564,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,68.3
ETH/USD,15m,crypto,9,17760,10656,3552,3552,3664,2282,4710,524,0,68,0.2941,-0.0567,-0.4377,-1.382,-0.133,0.9077,- LOSS,289.4
ETH/USD,30m,crypto,9,9157,5494,1831,1832,1558,1741,2195,266,0,7,0.5714,0.0162,0.1665,0.961,-0.0328,0.6395,* GOOD,150.1
ETH/USD,1h,crypto,9,9272,5563,1854,1855,1331,2769,1463,212,55,45,0.4,-0.0268,-0.1204,-1.387,-0.0582,0.5895,- LOSS,152.9
ETH/USD,4h,crypto,9,4565,2739,913,913,263,2224,252,44,25,17,0.5294,0.0599,0.1498,1.924,-0.0437,0.34,* GOOD,77.1
ETH/USD,12h,crypto,9,1261,756,252,253,33,704,19,0,10,2,0.5,0.0099,0.029,3.912,-0.0118,0.2188,TOO_FEW_TRADES,34.5
ETH/USD,1d,crypto,9,961,576,192,193,8,560,8,0,1,1,1.0,0.0296,0.0567,1.869,-0.0062,0.0659,TOO_FEW_TRADES,22.3
SOL/USD,15m,crypto,9,17760,10656,3552,3552,4031,1620,5005,524,0,85,0.2706,-0.0624,-0.4701,-7.427,-0.0729,0.8687,- LOSS,292.6
SOL/USD,30m,crypto,9,9157,5494,1831,1832,1928,1349,2217,266,0,23,0.3043,-0.0218,-0.1901,-2.132,-0.0294,0.8317,- LOSS,151.0
SOL/USD,1h,crypto,9,9272,5563,1854,1855,1616,2273,1674,269,0,45,0.4,0.002,0.0096,0.14,-0.0579,0.7217,+ MARGINAL,152.9
SOL/USD,4h,crypto,9,4565,2739,913,913,370,1931,438,50,19,16,0.25,-0.0578,-0.133,-1.578,-0.0964,0.3335,- LOSS,77.4
SOL/USD,12h,crypto,9,1261,756,252,253,43,665,48,0,4,2,1.0,0.0407,0.1221,5.078,-0.0247,0.1922,TOO_FEW_TRADES,34.1
SOL/USD,1d,crypto,9,961,576,192,193,9,537,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.077,TOO_FEW_TRADES,21.8
XRP/USD,15m,crypto,9,17760,10656,3552,3552,3942,2263,4451,524,0,59,0.3051,-0.0448,-0.3635,-8.826,-0.0505,0.769,- LOSS,305.2
XRP/USD,30m,crypto,9,9157,5494,1831,1832,1720,1714,2060,255,11,33,0.3636,-0.0243,-0.2096,-2.455,-0.0385,0.7242,- LOSS,204.9
XRP/USD,1h,crypto,9,9272,5563,1854,1855,1435,2711,1417,268,0,44,0.3409,-0.029,-0.1299,-1.287,-0.0514,0.6604,- LOSS,207.9
XRP/USD,4h,crypto,9,4565,2739,913,913,261,2137,341,62,0,15,0.2667,-0.0021,-0.0051,0.016,-0.0802,0.3259,- LOSS,106.8
XRP/USD,12h,crypto,9,1261,756,252,253,37,672,47,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1426,TOO_FEW_TRADES,41.3
XRP/USD,1d,crypto,9,961,576,192,193,12,546,18,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0593,TOO_FEW_TRADES,28.1
ADA/USD,15m,crypto,9,17760,10656,3552,3552,4167,1704,4785,524,0,78,0.3333,-0.058,-0.4454,-7.12,-0.0705,0.8468,- LOSS,356.2
ADA/USD,30m,crypto,9,9157,5494,1831,1832,2089,1355,2050,0,266,39,0.2564,-0.0484,-0.3776,-0.268,-0.1389,0.7142,- LOSS,151.6
ADA/USD,1h,crypto,9,9272,5563,1854,1855,1676,2350,1537,225,40,38,0.2105,-0.0827,-0.3348,-4.252,-0.1134,0.5081,- LOSS,152.2
ADA/USD,4h,crypto,9,4565,2739,913,913,346,2015,378,51,0,17,0.2941,-0.02,-0.0473,-0.584,-0.0727,0.3022,- LOSS,75.6
ADA/USD,12h,crypto,9,1261,756,252,253,37,672,47,3,0,2,0.5,0.0193,0.0567,4.158,-0.0194,0.159,TOO_FEW_TRADES,33.3
ADA/USD,1d,crypto,9,961,576,192,193,11,549,16,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0151,TOO_FEW_TRADES,20.9
AVAX/USD,15m,crypto,9,17751,10650,3550,3551,4246,1534,4870,408,116,79,0.3165,-0.057,-0.4396,-7.114,-0.0645,0.6112,- LOSS,282.4
AVAX/USD,30m,crypto,9,9157,5494,1831,1832,2118,1158,2218,0,266,44,0.2727,-0.0545,-0.4146,-0.282,-0.1463,0.7955,- LOSS,145.2
AVAX/USD,1h,crypto,9,9271,5562,1854,1855,1808,2017,1737,270,0,41,0.2927,-0.0642,-0.2692,-1.643,-0.0966,0.6828,- LOSS,147.0
AVAX/USD,4h,crypto,9,4565,2739,913,913,417,1868,454,18,106,24,0.3333,-0.0124,-0.0295,-0.236,-0.0568,0.3869,- LOSS,74.5
AVAX/USD,12h,crypto,9,1261,756,252,253,47,661,48,9,0,2,0.0,-0.0553,-0.1514,-3.17,-0.0927,0.2335,TOO_FEW_TRADES,33.9
AVAX/USD,1d,crypto,9,961,576,192,193,14,535,27,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0721,TOO_FEW_TRADES,20.9
DOT/USD,15m,crypto,9,17737,10642,3547,3548,4198,1571,4873,524,0,72,0.2778,-0.0576,-0.4431,-6.88,-0.0576,0.6734,- LOSS,278.9
DOT/USD,30m,crypto,9,9157,5494,1831,1832,2109,1172,2213,1,265,37,0.4324,-0.0107,-0.0974,-1.209,-0.0204,0.6763,- LOSS,145.7
DOT/USD,1h,crypto,9,9271,5562,1854,1855,1696,2294,1572,262,8,39,0.2564,-0.0512,-0.2198,-3.213,-0.0712,0.5989,- LOSS,152.7
