symbol,timeframe,asset_class,n_models,n_bars,n_folds,folds_positive,fold_dates,label_down,label_neutral,label_up,n_trades,win_rate,net_return,ann_return,ann_std,sharpe,sortino,calmar,max_drawdown,profit_factor,recovery_factor,payoff_ratio,avg_win,avg_loss,max_consec_losses,trend_wr,range_wr,n_trend_trades,n_range_trades,regime_edge,quality_score,wilcox_p,kelly_pct,status,elapsed_s
ETH/USD,4h,crypto,9,4794,6,3,? | ? | ? | ? | ? | ?,636,3508,650,3,0.3806,0.0006,0.0062,0.0294,0.362,0.376,4.617,-0.0027,3.091,inf,inf,19.8589,-9.4871,3,0.3194,0.1667,2,1,insufficient,60.0,0.4062,3.0,TOO_FEW_TRADES,741.1
LINK/USD,4h,crypto,9,4794,6,3,? | ? | ? | ? | ? | ?,862,3063,869,3,0.2833,0.0001,0.0016,0.0254,0.256,0.203,2.704,-0.0039,0.961,inf,inf,22.6588,-14.556,2,0.1667,0.3389,1,2,insufficient,57.6,0.4375,3.0,TOO_FEW_TRADES,765.5
SOL/USD,4h,crypto,9,4794,6,2,? | ? | ? | ? | ? | ?,835,3083,876,3,0.3583,0.0022,0.024,0.0572,0.48,1.154,17.609,-0.0025,19651666342.568,inf,inf,12.6783,-7.3847,3,0.1917,0.1667,2,1,insufficient,57.4,0.3125,3.0,TOO_FEW_TRADES,769.8
INJ/USD,4h,crypto,9,4794,6,2,? | ? | ? | ? | ? | ?,1117,2673,1004,1,0.2778,0.0007,0.0079,0.0402,0.766,0.767,13.159,-0.0018,14463433054.845,inf,inf,6.5786,-6.8328,2,0.2778,0.1667,1,0,insufficient,56.2,0.375,3.0,TOO_FEW_TRADES,785.2
BTC/USD,4h,crypto,9,4794,6,1,? | ? | ? | ? | ? | ?,332,4046,416,1,0.25,0.0,0.0006,0.0167,-0.416,-0.225,2.062,-0.0013,5207987095.957,inf,inf,3.8379,-4.5101,2,0.25,0.1667,1,0,insufficient,46.3,0.6875,3.0,TOO_FEW_TRADES,759.5
