symbol,timeframe,asset_class,n_models,n_bars,n_train,n_val,n_test,label_down,label_neutral,label_up,n_buy,n_sell,n_trades,win_rate,net_return,sharpe,max_drawdown,mean_conf,status,elapsed_s
BTC/USD,1d,crypto,9,521,312,104,105,1,307,4,0,0,0,0.0,0.0,0.0,0.0,0.0386,TOO_FEW_TRADES,19.2
BTC/USD,1w,crypto,9,321,192,64,65,5,172,15,0,0,0,0.0,0.0,0.0,0.0,0.0025,TOO_FEW_TRADES,25.8
ETH/USD,1d,crypto,9,521,312,104,105,6,296,10,0,0,0,0.0,0.0,0.0,0.0,0.0565,TOO_FEW_TRADES,17.2
ETH/USD,1w,crypto,9,321,192,64,65,8,165,19,0,0,0,0.0,0.0,0.0,0.0,0.0157,TOO_FEW_TRADES,11.3
SOL/USD,1d,crypto,9,521,312,104,105,6,294,12,0,0,0,0.0,0.0,0.0,0.0,0.1048,TOO_FEW_TRADES,16.7
XRP/USD,1d,crypto,9,521,312,104,105,9,283,20,0,0,0,0.0,0.0,0.0,0.0,0.0761,TOO_FEW_TRADES,18.2
ADA/USD,1d,crypto,9,521,312,104,105,8,289,15,6,0,3,0.3333,-0.0347,-2.341,-0.05,0.1948,TOO_FEW_TRADES,17.2
AVAX/USD,1d,crypto,9,521,312,104,105,11,286,15,4,0,1,0.0,-0.0185,-1.296,-0.0224,0.1461,TOO_FEW_TRADES,17.5
DOT/USD,1d,crypto,9,521,312,104,105,8,292,12,0,0,0,0.0,0.0,0.0,0.0,0.0696,TOO_FEW_TRADES,16.6
LTC/USD,1d,crypto,9,521,312,104,105,9,289,14,0,0,0,0.0,0.0,0.0,0.0,0.0476,TOO_FEW_TRADES,17.7
LTC/USD,1w,crypto,9,321,192,64,65,12,165,15,0,0,0,0.0,0.0,0.0,0.0,0.0093,TOO_FEW_TRADES,12.8
BCH/USD,1d,crypto,9,521,312,104,105,8,291,13,0,0,0,0.0,0.0,0.0,0.0,0.1341,TOO_FEW_TRADES,17.3
LINK/USD,1d,crypto,9,521,312,104,105,11,283,18,2,0,1,0.0,-0.0146,-1.882,-0.0182,0.0719,TOO_FEW_TRADES,17.8
DOGE/USD,1d,crypto,9,521,312,104,105,15,279,18,3,0,1,0.0,-0.0195,-2.174,-0.0195,0.1307,TOO_FEW_TRADES,17.0
ETC/USD,1d,crypto,9,521,312,104,105,7,294,11,0,0,0,0.0,0.0,0.0,0.0,0.0829,TOO_FEW_TRADES,17.1
XLM/USD,1d,crypto,9,521,312,104,105,10,280,22,1,0,1,0.0,-0.0176,-2.599,-0.0176,0.0419,TOO_FEW_TRADES,20.7
ATOM/USD,1d,crypto,9,521,312,104,105,11,286,15,0,0,0,0.0,0.0,0.0,0.0,0.0509,TOO_FEW_TRADES,17.6
ALGO/USD,1d,crypto,9,521,312,104,105,14,278,20,7,0,2,0.0,-0.0358,-1.803,-0.0454,0.2321,TOO_FEW_TRADES,19.4
NEAR/USD,1d,crypto,9,521,312,104,105,18,282,12,2,0,1,0.0,-0.0196,-2.662,-0.0196,0.1181,TOO_FEW_TRADES,18.3
