fold,symbol,timeframe,window,date_range,n_trades,win_rate,net_return,ann_return,sharpe,calmar,max_dd
1,COMP/USD,30m,TEST fold 1,2025-09-23→2026-03-06,4,0.25,-0.0178,-0.3427,0.112,-2.309,-0.1484
1,COMP/USD,30m,OOT  fold 1,2025-04-08→2025-05-02,6,0.5,0.0218,0.5239,2.133,17.509,-0.0299
2,COMP/USD,30m,TEST fold 2,2025-09-03→2025-09-23,4,0.5,-0.0008,-0.0187,-0.107,-0.793,-0.0236
2,COMP/USD,30m,OOT  fold 2,2025-04-08→2025-05-02,9,0.5556,0.0425,1.2533,4.672,58.387,-0.0215
3,COMP/USD,30m,TEST fold 3,2025-08-14→2025-09-03,6,0.3333,-0.013,-0.2636,-2.107,-9.544,-0.0276
3,COMP/USD,30m,OOT  fold 3,2025-04-08→2025-05-02,9,0.4444,0.02,0.4727,2.263,22.012,-0.0215
