name,acc,threshold,n_buy,n_sell,n_hold,pred_down,pred_neut,pred_up,max_prob,mean_prob,n_trades,win_rate,gross_ret,net_ret,sharpe,max_dd
LightGBM,0.7804651162790698,0.431906706779443,57,0,2093,1,2069,80,0.567215453852499,0.2673421832294125,26,0.3076923076923077,-0.04098534007724884,-0.06698534007724885,-0.6535884830509255,-0.07778269697478224
LSTM,0.7581395348837209,0.48296330869197845,67,0,2083,5,1972,173,0.6379892230033875,0.268023787147777,22,0.36363636363636365,0.020785237347664225,-0.0012147626523357734,0.2693165532241799,-0.07519660848556214
CNN,0.7748837209302326,0.5047855973243713,21,1,2128,13,2091,46,0.8048098087310791,0.219335313383923,5,0.2,-0.0353128218097736,-0.040312821809773594,-1.210092673005726,-0.06870636393254413
TFT,0.7404651162790697,0.5051149547100067,68,1,2081,24,1913,213,0.6755070686340332,0.2615011407469594,26,0.34615384615384615,0.005340513405924503,-0.0206594865940755,0.1214546815586456,-0.061134720937424496
Ensemble,0.7888372093023256,0.4222959670095206,38,0,2112,1,2098,51,0.49111284324320453,0.24675565847086642,16,0.3125,-0.044037239367586335,-0.060037239367586336,-0.9323429166839068,-0.07641421775061684
