fold,symbol,timeframe,window,date_range,n_trades,win_rate,net_return,ann_return,sharpe,calmar,max_dd
1,LINK/USD,1h,TEST fold 1,2025-12-23→2026-03-06,14,0.2857,-0.0258,-0.2192,-0.762,-2.805,-0.0781
1,LINK/USD,1h,OOT  fold 1,2025-01-09→2025-02-24,18,0.3889,-0.003,-0.0234,-0.108,-0.379,-0.0618
2,LINK/USD,1h,TEST fold 2,2025-11-14→2025-12-23,9,0.3333,-0.0026,-0.0243,-0.119,-0.701,-0.0346
2,LINK/USD,1h,OOT  fold 2,2025-01-09→2025-02-24,14,0.4286,0.0189,0.1585,1.161,5.257,-0.0302
3,LINK/USD,1h,TEST fold 3,2025-10-06→2025-11-14,7,0.2857,-0.013,-0.1164,-1.207,-3.065,-0.038
3,LINK/USD,1h,OOT  fold 3,2025-01-09→2025-02-24,11,0.4545,0.0213,0.1808,1.547,4.942,-0.0366
