fold,symbol,timeframe,window,date_range,n_trades,win_rate,net_return,ann_return,sharpe,calmar,max_dd
1,DASH/USD,1h,TEST fold 1,2025-12-24→2026-03-06,20,0.35,-0.0006,-0.0056,0.042,-0.115,-0.0484
1,DASH/USD,1h,OOT  fold 1,2025-01-09→2025-02-23,13,0.3846,0.0045,0.0372,0.314,0.817,-0.0456
2,DASH/USD,1h,TEST fold 2,2025-11-17→2025-12-24,10,0.5,0.0292,0.3269,2.564,11.275,-0.029
2,DASH/USD,1h,OOT  fold 2,2025-01-09→2025-02-23,9,0.4444,0.0153,0.1321,1.31,4.469,-0.0296
3,DASH/USD,1h,TEST fold 3,2025-10-11→2025-11-17,19,0.2632,-0.0443,-0.3594,-2.845,-5.172,-0.0695
3,DASH/USD,1h,OOT  fold 3,2025-01-09→2025-02-23,10,0.4,0.0069,0.0583,0.509,1.418,-0.0411
