fold,symbol,timeframe,window,date_range,n_trades,win_rate,net_return,ann_return,sharpe,calmar,max_dd
1,AAVE/USD,4h,TEST fold 1,2025-12-21→2026-03-06,14,0.2857,-0.039,-0.1739,-1.547,-2.101,-0.0828
1,AAVE/USD,4h,OOT  fold 1,2024-02-04→2024-05-05,22,0.1818,-0.0881,-0.3084,-2.614,-2.752,-0.1121
2,AAVE/USD,4h,TEST fold 2,2025-10-05→2025-12-20,17,0.4118,0.0164,0.0811,0.679,2.121,-0.0382
2,AAVE/USD,4h,OOT  fold 2,2024-02-04→2024-05-05,25,0.2,-0.0903,-0.3148,-2.37,-2.601,-0.1211
3,AAVE/USD,4h,TEST fold 3,2025-07-21→2025-10-05,8,0.375,0.001,0.005,0.103,0.217,-0.0231
3,AAVE/USD,4h,OOT  fold 3,2024-02-04→2024-05-05,20,0.25,-0.052,-0.1921,-1.475,-2.303,-0.0834
