symbol,timeframe,asset_class,n_models,n_bars,n_folds,folds_positive,fold_dates,label_down,label_neutral,label_up,n_trades,win_rate,net_return,ann_return,ann_std,sharpe,sortino,calmar,max_drawdown,profit_factor,recovery_factor,payoff_ratio,avg_win,avg_loss,max_consec_losses,trend_wr,range_wr,n_trend_trades,n_range_trades,regime_edge,quality_score,wilcox_p,kelly_pct,status,elapsed_s
ETH/USD,4h,crypto,9,4793,6,4,? | ? | ? | ? | ? | ?,635,3508,650,3,0.4861,0.0018,0.0187,0.0327,0.959,0.648,9.654,-0.0022,12634003765.516,inf,inf,20.0581,-9.0976,2,0.25,0.25,2,1,insufficient,68.5,0.1562,3.0,TOO_FEW_TRADES,5.9
BTC/USD,4h,crypto,9,4793,6,3,? | ? | ? | ? | ? | ?,331,4046,416,2,0.2889,0.0007,0.0076,0.0151,0.743,0.703,7.037,-0.0012,6045832542.575,inf,inf,8.6012,-3.7999,2,0.1667,0.3167,0,1,insufficient,60.1,0.1875,3.0,TOO_FEW_TRADES,7.0
