symbol,timeframe,asset_class,n_models,n_bars,n_train,n_val,n_test,label_down,label_neutral,label_up,n_buy,n_sell,n_trades,win_rate,net_return,sharpe,max_drawdown,mean_conf,status,elapsed_s
BTC/USD,1d,crypto,9,521,312,104,105,1,307,4,0,0,0,0.0,0.0,0.0,0.0,0.0386,TOO_FEW_TRADES,17.5
BTC/USD,1w,crypto,9,321,192,64,65,72,6,114,0,1,1,0.0,-0.0237,-13.45,-0.0254,0.0809,TOO_FEW_TRADES,11.1
ETH/USD,1d,crypto,9,521,312,104,105,6,296,10,0,0,0,0.0,0.0,0.0,0.0,0.0565,TOO_FEW_TRADES,17.7
ETH/USD,1w,crypto,9,321,192,64,65,54,10,128,0,1,1,1.0,0.0915,14.471,0.0,0.0869,TOO_FEW_TRADES,19.1
SOL/USD,1d,crypto,9,521,312,104,105,6,294,12,0,0,0,0.0,0.0,0.0,0.0,0.1048,TOO_FEW_TRADES,15.9
XRP/USD,1d,crypto,9,521,312,104,105,9,283,20,0,0,0,0.0,0.0,0.0,0.0,0.0761,TOO_FEW_TRADES,17.0
ADA/USD,1d,crypto,9,521,312,104,105,8,289,15,6,0,3,0.3333,-0.0348,-2.349,-0.05,0.1948,TOO_FEW_TRADES,16.4
AVAX/USD,1d,crypto,9,521,312,104,105,11,286,15,4,0,1,0.0,-0.0185,-1.296,-0.0224,0.1461,TOO_FEW_TRADES,16.3
DOT/USD,1d,crypto,9,521,312,104,105,8,292,12,0,0,0,0.0,0.0,0.0,0.0,0.0696,TOO_FEW_TRADES,16.0
LTC/USD,1d,crypto,9,521,312,104,105,9,289,14,0,0,0,0.0,0.0,0.0,0.0,0.0476,TOO_FEW_TRADES,16.4
LTC/USD,1w,crypto,9,321,192,64,65,97,7,88,1,0,0,0.0,0.0,0.0,0.0,0.0915,TOO_FEW_TRADES,13.1
BCH/USD,1d,crypto,9,521,312,104,105,8,291,13,0,0,0,0.0,0.0,0.0,0.0,0.1341,TOO_FEW_TRADES,15.9
LINK/USD,1d,crypto,9,521,312,104,105,11,283,18,2,0,1,0.0,-0.0146,-1.882,-0.0182,0.0719,TOO_FEW_TRADES,16.6
DOGE/USD,1d,crypto,9,521,312,104,105,15,279,18,3,0,1,0.0,-0.0195,-2.174,-0.0195,0.1307,TOO_FEW_TRADES,16.4
ETC/USD,1d,crypto,9,521,312,104,105,7,294,11,0,0,0,0.0,0.0,0.0,0.0,0.0829,TOO_FEW_TRADES,16.1
XLM/USD,1d,crypto,9,521,312,104,105,10,280,22,1,0,1,0.0,-0.0176,-2.599,-0.0176,0.042,TOO_FEW_TRADES,18.8
ATOM/USD,1d,crypto,9,521,312,104,105,11,286,15,0,0,0,0.0,0.0,0.0,0.0,0.0509,TOO_FEW_TRADES,16.2
ALGO/USD,1d,crypto,9,521,312,104,105,14,278,20,7,0,2,0.0,-0.0358,-1.803,-0.0454,0.2321,TOO_FEW_TRADES,17.5
NEAR/USD,1d,crypto,9,521,312,104,105,18,282,12,2,0,1,0.0,-0.0196,-2.662,-0.0196,0.1181,TOO_FEW_TRADES,16.5
XTZ/USD,1d,crypto,9,521,312,104,105,13,290,9,0,0,0,0.0,0.0,0.0,0.0,0.048,TOO_FEW_TRADES,17.1
UNI/USD,1d,crypto,9,521,312,104,105,10,284,18,5,0,1,0.0,-0.0195,-2.022,-0.02,0.2038,TOO_FEW_TRADES,16.6
