fold,symbol,timeframe,window,date_range,n_trades,win_rate,net_return,ann_return,sharpe,calmar,max_dd
1,ETH/USD,4h,TEST fold 1,2025-12-21→2026-03-06,12,0.25,-0.0315,-0.1426,-1.586,-2.561,-0.0557
1,ETH/USD,4h,OOT  fold 1,2024-02-04→2024-05-05,10,0.3,-0.0154,-0.06,-0.781,-1.09,-0.055
2,ETH/USD,4h,TEST fold 2,2025-10-05→2025-12-20,7,0.5714,0.0322,0.1645,2.451,5.598,-0.0294
2,ETH/USD,4h,OOT  fold 2,2024-02-04→2024-05-05,7,0.0,-0.0562,-0.2065,-4.099,-3.379,-0.0611
3,ETH/USD,4h,TEST fold 3,2025-07-21→2025-10-05,2,1.0,0.0288,0.1459,3.462,18.418,-0.0079
3,ETH/USD,4h,OOT  fold 3,2024-02-04→2024-05-05,5,0.2,-0.0187,-0.0728,-1.476,-2.047,-0.0355
