fold,symbol,timeframe,window,date_range,n_trades,win_rate,net_return,ann_return,sharpe,calmar,max_dd
1,XLM/USD,4h,TEST fold 1,2025-12-21→2026-03-07,8,0.25,-0.0211,-0.0973,-1.088,-2.023,-0.0481
1,XLM/USD,4h,OOT  fold 1,2024-02-04→2024-05-05,6,0.1667,-0.0268,-0.103,-2.024,-3.737,-0.0276
2,XLM/USD,4h,TEST fold 2,2025-10-06→2025-12-21,9,0.5556,0.0382,0.1968,2.387,8.639,-0.0228
2,XLM/USD,4h,OOT  fold 2,2024-02-04→2024-05-05,5,0.0,-0.0405,-0.1522,-1.844,-3.157,-0.0482
3,XLM/USD,4h,TEST fold 3,2025-07-22→2025-10-06,11,0.4545,0.0254,0.1277,1.477,4.559,-0.028
3,XLM/USD,4h,OOT  fold 3,2024-02-04→2024-05-05,7,0.1429,-0.0348,-0.1321,-2.354,-2.454,-0.0539
