symbol,timeframe,asset_class,n_models,n_bars,n_folds,folds_positive,fold_dates,label_down,label_neutral,label_up,n_trades,win_rate,net_return,ann_return,ann_std,sharpe,calmar,max_drawdown,status,elapsed_s
DOT/USD,30m,crypto,9,9157,3,1,2025-08-08→2025-08-25 | 2025-08-25→2025-09-11 | 2025-09-11→2025-09-28,3517,1994,3646,4,0.2444,-0.0111,-0.1656,0.2579,-2.625,-3.575,-0.0297,TOO_FEW_TRADES,491.8
DOT/USD,1h,crypto,9,9271,3,0,2025-09-13→2025-10-18 | 2025-10-18→2025-11-22 | 2025-11-22→2025-12-27,2857,4028,2386,10,0.2667,-0.0226,-0.2096,0.0839,-1.946,-4.07,-0.0505,TOO_FEW_TRADES,505.0
DOT/USD,4h,crypto,9,4569,3,0,2025-06-05→2025-08-13 | 2025-08-13→2025-10-20 | 2025-10-20→2025-12-28,589,3444,536,5,0.1778,-0.0242,-0.1221,0.0181,-1.934,-3.83,-0.0344,TOO_FEW_TRADES,251.4
DOT/USD,12h,crypto,9,1261,3,0,2025-05-18→2025-07-13 | 2025-07-14→2025-09-08 | 2025-09-08→2025-11-03,59,1139,63,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,84.1
DOT/USD,1d,crypto,9,962,3,0,2025-03-25→2025-06-18 | 2025-06-19→2025-09-12 | 2025-09-13→2025-12-07,21,911,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,58.1
POL/USD,30m,crypto,9,9149,3,2,2025-08-08→2025-08-25 | 2025-08-25→2025-09-11 | 2025-09-11→2025-09-28,3548,2167,3434,5,0.3333,-0.0044,-0.0379,0.3016,-0.466,4.289,-0.0289,TOO_FEW_TRADES,492.2
POL/USD,1h,crypto,9,9271,3,1,2025-09-13→2025-10-18 | 2025-10-18→2025-11-22 | 2025-11-22→2025-12-27,2786,4203,2282,13,0.2398,-0.0473,-0.3344,0.2889,-3.946,-4.974,-0.0598,TOO_FEW_TRADES,504.0
POL/USD,4h,crypto,9,3502,3,0,2025-08-08→2025-09-30 | 2025-09-30→2025-11-21 | 2025-11-21→2026-01-13,525,2519,458,7,0.2193,-0.0252,-0.1578,0.1001,-2.167,-3.957,-0.0342,TOO_FEW_TRADES,192.2
POL/USD,12h,crypto,9,1021,3,1,2025-07-01→2025-08-15 | 2025-08-15→2025-09-29 | 2025-09-30→2025-11-14,67,897,57,1,0.3333,-0.0007,-0.0012,0.0999,-0.282,21.216,-0.0063,TOO_FEW_TRADES,70.7
LTC/USD,30m,crypto,9,9156,3,1,2025-08-08→2025-08-25 | 2025-08-25→2025-09-11 | 2025-09-11→2025-09-28,3071,2662,3423,4,0.3056,-0.0139,-0.2125,0.2641,-3.866,-5.399,-0.0281,TOO_FEW_TRADES,494.8
