symbol,timeframe,asset_class,n_models,n_bars,n_folds,folds_positive,fold_dates,label_down,label_neutral,label_up,n_trades,win_rate,net_return,ann_return,ann_std,sharpe,calmar,max_drawdown,status,elapsed_s
AAVE/USD,12h,crypto,9,1261,3,1,2025-05-18→2025-07-13 | 2025-07-14→2025-09-08 | 2025-09-08→2025-11-03,69,1097,95,1,0.1667,-0.0035,-0.0208,0.059,-0.156,-0.593,-0.0254,TOO_FEW_TRADES,84.7
AAVE/USD,1d,crypto,9,962,3,0,2025-03-25→2025-06-18 | 2025-06-19→2025-09-12 | 2025-09-13→2025-12-07,29,892,41,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,57.1
MKR/USD,30m,crypto,9,8107,3,1,2025-04-28→2025-05-14 | 2025-05-14→2025-05-30 | 2025-05-30→2025-06-14,3220,1573,3314,7,0.4048,0.0003,0.1001,0.4789,0.052,3.695,-0.032,TOO_FEW_TRADES,447.2
MKR/USD,1h,crypto,9,8494,3,2,2025-02-23→2025-03-26 | 2025-03-26→2025-04-27 | 2025-04-27→2025-05-29,2596,3516,2382,15,0.4056,0.0048,0.0592,0.0853,0.383,1.278,-0.0488,+ MARGINAL,468.3
MKR/USD,4h,crypto,9,3080,3,2,2024-12-28→2025-02-12 | 2025-02-12→2025-03-30 | 2025-03-30→2025-05-15,447,2171,462,4,0.35,-0.0012,-0.0085,0.0514,-0.083,-0.269,-0.0199,TOO_FEW_TRADES,176.0
MKR/USD,12h,crypto,9,1261,3,0,2024-11-15→2025-01-10 | 2025-01-11→2025-03-08 | 2025-03-08→2025-05-03,49,1130,82,0,0.0,-0.0027,-0.0173,0.0245,-1.395,-2.106,-0.0027,TOO_FEW_TRADES,83.0
MKR/USD,1d,crypto,9,896,3,0,2024-08-12→2024-10-30 | 2024-10-31→2025-01-18 | 2025-01-19→2025-04-08,18,835,43,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,61.0
COMP/USD,30m,crypto,9,7483,3,1,2025-08-04→2025-08-20 | 2025-08-20→2025-09-07 | 2025-09-07→2025-09-25,3094,1522,2867,5,0.2143,-0.0211,-0.3619,0.2865,-4.034,-7.896,-0.0352,TOO_FEW_TRADES,403.0
COMP/USD,1h,crypto,9,8841,3,2,2025-09-13→2025-10-18 | 2025-10-18→2025-11-22 | 2025-11-22→2025-12-27,2802,3743,2296,9,0.372,-0.0076,0.0112,0.417,-0.556,2.93,-0.0476,TOO_FEW_TRADES,483.7
COMP/USD,4h,crypto,9,4560,3,1,2025-06-06→2025-08-13 | 2025-08-13→2025-10-20 | 2025-10-20→2025-12-28,604,3381,575,11,0.3389,-0.0127,-0.0453,0.2288,-0.8,2.377,-0.0423,- LOSS,250.5
COMP/USD,12h,crypto,9,1261,3,0,2025-05-18→2025-07-13 | 2025-07-14→2025-09-08 | 2025-09-08→2025-11-03,63,1128,70,1,0.0,-0.0082,-0.0493,0.0697,-0.952,-1.734,-0.0095,TOO_FEW_TRADES,83.1
