symbol,timeframe,asset_class,n_models,n_bars,n_folds,folds_positive,fold_dates,label_down,label_neutral,label_up,n_trades,win_rate,net_return,ann_return,ann_std,sharpe,sortino,calmar,max_drawdown,profit_factor,recovery_factor,payoff_ratio,avg_win,avg_loss,max_consec_losses,trend_wr,range_wr,n_trend_trades,n_range_trades,regime_edge,quality_score,wilcox_p,kelly_pct,status,elapsed_s
CRV/USD,1d,crypto,9,1730,6,0,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,253,1196,281,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,15.0
INJ/USD,1d,crypto,9,1509,6,0,2025-03-09→2025-05-14 | 2025-05-15→2025-07-20 | 2025-07-21→2025-09-25 | 2025-09-26→2025-12-01 | 2025-12-02→2026-02-06 | 2026-02-07→2026-04-14,226,1046,237,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,12.0
ARB/USD,1d,crypto,9,919,6,0,2025-08-12→2025-09-21 | 2025-09-22→2025-11-01 | 2025-11-02→2025-12-12 | 2025-12-13→2026-01-22 | 2026-01-23→2026-03-04 | 2026-03-05→2026-04-14,122,691,106,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,6.2
OP/USD,1d,crypto,9,729,6,0,2025-10-05→2025-11-05 | 2025-11-06→2025-12-07 | 2025-12-08→2026-01-08 | 2026-01-09→2026-02-09 | 2026-02-10→2026-03-13 | 2026-03-14→2026-04-14,111,522,96,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,5.8
RUNE/USD,1d,crypto,9,1240,6,0,2025-05-20→2025-07-13 | 2025-07-14→2025-09-06 | 2025-09-07→2025-10-31 | 2025-11-01→2025-12-25 | 2025-12-26→2026-02-18 | 2026-02-19→2026-04-14,159,901,180,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,9.6
FIL/USD,1d,crypto,9,1730,6,0,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,229,1308,193,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,-0.2494,1,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,14.5
EUR/USD,4h,forex,9,4805,6,0,2025-09-10→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,0,4804,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,50.9
EUR/USD,1d,forex,9,1730,6,0,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,0,1730,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,15.4
GBP/USD,4h,forex,9,4806,6,0,2025-09-10→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,0,4806,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,51.0
GBP/USD,1d,forex,9,1730,6,0,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,0,1730,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,15.5
AUD/USD,4h,forex,9,4805,6,0,2025-09-10→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,5,4797,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,51.0
AUD/USD,1d,forex,9,1730,6,0,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,2,1727,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,0,0.0,0.0,0,0,insufficient,40.0,1.0,3.0,TOO_FEW_TRADES,15.6
SNX/USD,4h,crypto,9,4802,6,1,2025-09-10→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,1168,2648,986,1,0.0833,-0.0023,-0.0204,0.0673,-1.093,-0.382,-1.578,-0.0043,0.353,inf,inf,9.0323,-16.7601,3,0.0833,0.0,1,0,insufficient,39.3,0.75,3.0,TOO_FEW_TRADES,40.4
FIL/USD,4h,crypto,9,4804,6,1,2025-09-10→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,997,2952,855,1,0.1667,-0.0022,-0.0218,0.0306,-1.572,-0.824,-3.273,-0.0034,2136320250.992,inf,inf,2.1363,-10.0647,3,0.1667,0.0,1,0,insufficient,38.3,0.9375,3.0,TOO_FEW_TRADES,45.4
ZEC/USD,1d,crypto,9,1730,6,0,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,223,1277,230,0,0.0833,-0.0012,-0.0312,0.0698,-0.597,-0.353,-3.222,-0.0016,0.024,inf,inf,2.0651,-14.1774,1,0.0,0.1667,0,0,insufficient,37.3,1.0,3.0,TOO_FEW_TRADES,14.3
ETC/USD,4h,crypto,9,4802,6,1,2025-09-10→2025-10-15 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,751,3355,696,2,0.1167,-0.0024,-0.024,0.0225,-1.713,-0.9,-4.486,-0.0041,0.262,inf,inf,7.1577,-14.5356,3,0.0,0.2083,1,1,insufficient,37.2,0.9688,3.0,TOO_FEW_TRADES,49.6
CRV/USD,4h,crypto,9,4804,6,1,2025-09-10→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,1003,2788,1013,2,0.1806,-0.0031,-0.0309,0.0307,-2.169,-1.101,-3.949,-0.006,0.412,inf,inf,24.8873,-26.7933,3,0.0972,0.1667,1,1,insufficient,35.6,0.9688,3.0,TOO_FEW_TRADES,41.9
ZEC/USD,4h,crypto,9,4804,6,0,2025-09-10→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,992,2700,1112,1,0.0,-0.0033,-0.0314,0.0549,-0.87,-0.386,-2.138,-0.0049,0.0,inf,inf,0.0,-11.9617,3,0.0,0.0,1,0,insufficient,35.3,1.0,3.0,TOO_FEW_TRADES,35.2
ATOM/USD,4h,crypto,9,4802,6,1,2025-09-10→2025-10-15 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,790,3271,741,2,0.1167,-0.0023,-0.023,0.0226,-2.131,-16.391,-4.174,-0.004,0.321,inf,inf,9.7241,-15.4156,4,0.0333,0.0833,2,0,insufficient,35.1,0.9688,3.0,TOO_FEW_TRADES,48.3
NEAR/USD,4h,crypto,9,4803,6,0,2025-09-10→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,1015,2782,1006,2,0.125,-0.0026,-0.0258,0.0228,-1.485,-0.838,-3.17,-0.0069,0.281,inf,inf,27.7586,-19.0723,3,0.1306,0.0,2,0,insufficient,34.9,1.0,3.0,TOO_FEW_TRADES,42.9
XMR/USD,1d,crypto,9,1730,6,0,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,132,1476,122,0,0.0,-0.0015,-0.0389,0.0549,-1.11,-0.572,-5.154,-0.0035,0.0,inf,inf,0.0,-14.4331,1,0.0,0.0,0,0,insufficient,33.1,1.0,3.0,TOO_FEW_TRADES,14.7
ALGO/USD,1d,crypto,9,1730,6,0,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,215,1310,205,0,0.0,-0.0014,-0.0354,0.0776,-1.594,-0.837,-4.362,-0.0023,0.0,inf,inf,0.0,-7.1466,2,0.0,0.0,0,0,insufficient,30.8,1.0,3.0,TOO_FEW_TRADES,14.7
BCH/USD,4h,crypto,9,4802,6,0,2025-09-10→2025-10-15 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,670,3423,709,1,0.0,-0.0009,-0.0094,0.0071,-2.323,-0.789,-4.719,-0.0017,0.0,inf,inf,0.0,-9.0382,1,0.0,0.0,0,0,insufficient,28.9,1.0,3.0,TOO_FEW_TRADES,60.6
POL/USD,4h,crypto,9,3732,6,0,2025-10-29→2025-11-25 | 2025-11-26→2025-12-23 | 2025-12-23→2026-01-20 | 2026-01-20→2026-02-17 | 2026-02-17→2026-03-17 | 2026-03-17→2026-04-14,738,2392,602,1,0.0,-0.0016,-0.0212,0.0172,-2.495,-1.048,-6.963,-0.0021,0.0,inf,inf,0.0,-10.8698,2,0.0,0.0,0,0,insufficient,27.6,1.0,3.0,TOO_FEW_TRADES,40.8
GRT/USD,1d,crypto,9,1730,6,0,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,246,1260,224,0,0.0,-0.0021,-0.0539,0.0778,-2.133,-1.13,-7.04,-0.0026,0.0,inf,inf,0.0,-20.4934,1,0.0,0.0,0,0,insufficient,27.5,1.0,3.0,TOO_FEW_TRADES,15.2
ETC/USD,1d,crypto,9,1730,6,0,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,160,1398,172,1,0.0,-0.0021,-0.0559,0.057,-2.757,-0.842,-11.52,-0.0025,0.0,inf,inf,0.0,-17.7739,2,0.0,0.0,1,0,insufficient,26.5,1.0,3.0,TOO_FEW_TRADES,14.8
DASH/USD,1d,crypto,9,1730,6,0,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,202,1346,182,1,0.0,-0.0026,-0.0691,0.0817,-2.505,-1.847,-9.053,-0.0037,0.0,inf,inf,0.0,-21.2042,2,0.0,0.0,0,0,insufficient,26.0,1.0,3.0,TOO_FEW_TRADES,15.3
