symbol,timeframe,asset_class,n_models,n_bars,n_folds,folds_positive,fold_dates,label_down,label_neutral,label_up,n_trades,win_rate,net_return,ann_return,ann_std,sharpe,sortino,calmar,max_drawdown,profit_factor,recovery_factor,payoff_ratio,avg_win,avg_loss,max_consec_losses,trend_wr,range_wr,n_trend_trades,n_range_trades,regime_edge,quality_score,wilcox_p,kelly_pct,status,elapsed_s
DASH/USD,4h,crypto,9,4801,6,2,2025-09-10→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,892,3112,797,3,0.2458,0.0035,0.0421,0.1282,-0.642,0.261,6.161,-0.0102,1.438,inf,inf,48.3843,-32.8429,3,0.3381,0.0,2,1,insufficient,50.1,0.5938,3.0,TOO_FEW_TRADES,40.5
LINK/USD,1d,crypto,9,1730,6,1,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,199,1325,206,0,0.1667,0.0005,0.0158,0.0353,0.647,0.517,7.811,-0.0003,5232455573.25,inf,inf,5.2325,0.0,0,0.1667,0.0,0,0,insufficient,49.8,0.5,3.0,TOO_FEW_TRADES,15.9
DOGE/USD,4h,crypto,9,4803,6,2,2025-09-10→2025-10-15 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,869,3007,927,4,0.2619,0.0004,0.0045,0.0302,-0.712,-0.036,-0.503,-0.0044,0.849,inf,inf,22.258,-14.4294,3,0.25,0.2222,2,2,insufficient,49.4,0.5,3.0,TOO_FEW_TRADES,47.3
AAVE/USD,4h,crypto,9,4803,6,2,2025-09-10→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,902,2941,960,2,0.2778,-0.0014,-0.0132,0.0493,-0.566,-0.031,1.927,-0.0034,10604221593.802,inf,inf,17.0915,-15.3174,3,0.25,0.0333,1,1,insufficient,49.3,0.7812,3.0,TOO_FEW_TRADES,46.1
XRP/USD,1d,crypto,9,1727,6,2,2025-01-07→2025-03-24 | 2025-03-25→2025-06-09 | 2025-06-10→2025-08-25 | 2025-08-26→2025-11-10 | 2025-11-11→2026-01-26 | 2026-01-27→2026-04-13,141,1435,151,1,0.3333,-0.0006,-0.0151,0.0664,-0.836,0.382,1.464,-0.0026,5607907549.225,inf,inf,5.6079,-12.0934,1,0.1667,0.1667,0,0,insufficient,48.3,0.6875,3.0,TOO_FEW_TRADES,16.9
UNI/USD,4h,crypto,9,4803,6,1,2025-09-10→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,952,2943,908,2,0.2333,-0.0002,-0.0019,0.0161,-0.024,-0.013,0.846,-0.003,3556886632.891,inf,inf,10.7302,-6.4556,3,0.2333,0.0,2,0,insufficient,48.3,0.75,3.0,TOO_FEW_TRADES,40.1
XTZ/USD,1d,crypto,9,1730,6,1,2025-01-08→2025-03-25 | 2025-03-26→2025-06-10 | 2025-06-11→2025-08-26 | 2025-08-27→2025-11-11 | 2025-11-12→2026-01-27 | 2026-01-28→2026-04-14,190,1373,167,0,0.1667,-0.0002,-0.0051,0.0495,0.395,-0.443,11587598.437,-0.0008,3852314952.967,inf,inf,3.8523,-6.4822,1,0.1667,0.0,0,0,insufficient,47.9,0.75,3.0,TOO_FEW_TRADES,14.7
DOT/USD,4h,crypto,9,4802,6,2,2025-09-10→2025-10-15 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,818,3251,733,2,0.2778,-0.0004,-0.0032,0.0312,-0.978,-0.145,-0.209,-0.0031,1.077,inf,inf,12.4887,-14.9468,2,0.1667,0.3333,2,0,insufficient,47.6,0.5938,3.0,TOO_FEW_TRADES,57.8
ARB/USD,4h,crypto,9,4804,6,2,2025-09-10→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-27 | 2025-12-27→2026-02-01 | 2026-02-01→2026-03-09 | 2026-03-09→2026-04-14,1022,2927,855,1,0.1667,-0.0011,-0.0108,0.0238,-0.596,-0.111,-1.034,-0.0029,0.539,inf,inf,10.2661,-13.4164,2,0.0833,0.1667,1,0,insufficient,46.9,0.8125,3.0,TOO_FEW_TRADES,43.9
ADA/USD,4h,crypto,9,4801,6,2,2025-09-09→2025-10-15 | 2025-10-15→2025-11-20 | 2025-11-21→2025-12-26 | 2025-12-27→2026-01-31 | 2026-02-01→2026-03-08 | 2026-03-09→2026-04-13,850,3147,804,2,0.3889,-0.0012,-0.0119,0.0366,-1.511,-0.691,2.08,-0.0036,9950584537.196,1.039,inf,14.7111,-12.9762,3,0.1667,0.2222,1,1,insufficient,46.4,0.7812,3.0,TOO_FEW_TRADES,54.9
