fold,symbol,timeframe,window,date_range,n_trades,win_rate,net_return,ann_return,sharpe,calmar,max_dd
1,AVAX/USD,4h,TEST fold 1,2025-12-21→2026-03-07,12,0.1667,-0.0529,-0.2295,-3.17,-2.782,-0.0825
1,AVAX/USD,4h,OOT  fold 1,2024-02-04→2024-05-05,14,0.3571,-0.0037,-0.0148,-0.119,-0.353,-0.0418
2,AVAX/USD,4h,TEST fold 2,2025-10-06→2025-12-21,12,0.4167,0.0186,0.0921,0.853,3.614,-0.0255
2,AVAX/USD,4h,OOT  fold 2,2024-02-04→2024-05-05,16,0.3125,-0.0199,-0.0773,-0.694,-1.328,-0.0582
3,AVAX/USD,4h,TEST fold 3,2025-07-22→2025-10-06,10,0.5,0.0156,0.0768,1.169,2.985,-0.0257
3,AVAX/USD,4h,OOT  fold 3,2024-02-04→2024-05-05,13,0.5385,0.0507,0.2188,2.43,6.103,-0.0358
