symbol,timeframe,asset_class,n_models,n_bars,n_train,n_val,n_test,label_down,label_neutral,label_up,n_buy,n_sell,n_trades,win_rate,net_return,ann_return,sharpe,max_drawdown,mean_conf,status,elapsed_s
ZEC/USD,1d,crypto,9,960,576,192,192,17,533,26,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1643,TOO_FEW_TRADES,20.7
DASH/USD,1h,crypto,9,8914,5348,1783,1783,1494,2338,1516,0,259,38,0.4474,0.0319,0.1667,1.614,-0.0438,0.8197,* GOOD,144.6
DASH/USD,4h,crypto,9,4559,2735,912,912,338,2100,297,86,26,17,0.3529,0.0549,0.137,0.631,-0.0857,0.413,+ MARGINAL,74.5
DASH/USD,12h,crypto,9,1261,756,252,253,45,677,34,0,17,3,0.6667,0.0385,0.1151,4.909,-0.0466,0.279,TOO_FEW_TRADES,33.7
DASH/USD,1d,crypto,9,960,576,192,192,20,541,15,0,12,3,0.0,-0.0556,-0.103,-0.516,-0.1165,0.277,TOO_FEW_TRADES,22.3
EUR/USD,1h,forex,9,9272,5563,1854,1855,0,5526,37,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,398.1
EUR/USD,4h,forex,9,4562,2737,912,913,0,2737,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,262.4
EUR/USD,12h,forex,9,1261,756,252,253,0,756,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,84.8
EUR/USD,1d,forex,9,960,576,192,192,0,576,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,63.6
GBP/USD,1h,forex,9,9272,5563,1854,1855,1,5560,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0001,TOO_FEW_TRADES,417.7
GBP/USD,4h,forex,9,4563,2737,913,913,0,2737,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,262.7
GBP/USD,12h,forex,9,1261,756,252,253,0,756,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,97.8
GBP/USD,1d,forex,9,960,576,192,192,0,576,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,85.0
AUD/USD,1h,forex,9,9271,5562,1854,1855,29,5505,28,0,2,1,1.0,0.0028,0.0134,2.354,-0.0011,0.0071,TOO_FEW_TRADES,192.9
AUD/USD,4h,forex,9,4562,2737,912,913,5,2731,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,350.9
AUD/USD,12h,forex,9,1261,756,252,253,1,755,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,111.3
AUD/USD,1d,forex,9,960,576,192,192,0,576,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,TOO_FEW_TRADES,85.3
