run,symbol,window,n_trades,win_rate,net_return,ann_return,sharpe,max_dd,mean_conf
1,LINK/USD,TEST,39,0.2308,-0.0665,-0.3338,-4.709,-0.0667,0.8307
1,LINK/USD,OOT ,37,0.3243,-0.0149,-0.0684,-0.47,-0.0647,0.6857
2,LINK/USD,TEST,39,0.2308,-0.0665,-0.3338,-4.709,-0.0667,0.8307
2,LINK/USD,OOT ,37,0.3243,-0.0149,-0.0684,-0.47,-0.0647,0.6857
3,LINK/USD,TEST,39,0.2308,-0.0665,-0.3338,-4.709,-0.0667,0.8307
3,LINK/USD,OOT ,37,0.3243,-0.0149,-0.0684,-0.47,-0.0647,0.6857
4,LINK/USD,TEST,39,0.2308,-0.0665,-0.3338,-4.709,-0.0667,0.8307
4,LINK/USD,OOT ,37,0.3243,-0.0149,-0.0684,-0.47,-0.0647,0.6857
5,LINK/USD,TEST,39,0.2308,-0.0665,-0.3338,-4.709,-0.0667,0.8307
5,LINK/USD,OOT ,37,0.3243,-0.0149,-0.0684,-0.47,-0.0647,0.6857
