fold,symbol,timeframe,window,date_range,n_trades,win_rate,net_return,ann_return,sharpe,calmar,max_dd
1,INJ/USD,4h,TEST fold 1,2025-12-21→2026-03-06,13,0.4615,0.0273,0.138,1.325,4.059,-0.034
1,INJ/USD,4h,OOT  fold 1,2024-02-04→2024-05-05,11,0.3636,-0.0014,-0.0056,-0.054,-0.203,-0.0278
2,INJ/USD,4h,TEST fold 2,2025-10-05→2025-12-20,13,0.1538,-0.0607,-0.2599,-2.753,-4.063,-0.064
2,INJ/USD,4h,OOT  fold 2,2024-02-04→2024-05-05,12,0.4167,0.0128,0.0522,0.7,2.394,-0.0218
3,INJ/USD,4h,TEST fold 3,2025-07-21→2025-10-05,11,0.2727,-0.0236,-0.1083,-1.34,-2.392,-0.0453
3,INJ/USD,4h,OOT  fold 3,2024-02-04→2024-05-05,15,0.4667,0.0334,0.1403,1.467,3.073,-0.0457
