symbol,timeframe,asset_class,n_models,n_bars,n_folds,folds_positive,fold_dates,label_down,label_neutral,label_up,n_trades,win_rate,net_return,ann_return,ann_std,sharpe,sortino,calmar,max_drawdown,profit_factor,recovery_factor,payoff_ratio,avg_win,avg_loss,max_consec_losses,trend_wr,range_wr,n_trend_trades,n_range_trades,regime_edge,quality_score,wilcox_p,kelly_pct,status,elapsed_s
FIL/USD,1d,crypto,9,1729,6,1,2025-01-07→2025-03-24 | 2025-03-25→2025-06-09 | 2025-06-10→2025-08-25 | 2025-08-26→2025-11-10 | 2025-11-11→2026-01-26 | 2026-01-27→2026-04-13,229,1308,192,0,0.0833,0.0019,0.0644,0.1439,0.423,0.499,6.63,-0.0016,0.481,inf,inf,29.7214,-10.2901,1,0.0833,0.0,0,0,insufficient,48.8,0.5,3.0,TOO_FEW_TRADES,378.5
BTC/USD,4h,crypto,9,4795,6,1,2025-09-09→2025-10-15 | 2025-10-15→2025-11-20 | 2025-11-20→2025-12-26 | 2025-12-26→2026-01-31 | 2026-01-31→2026-03-08 | 2026-03-08→2026-04-12,332,4047,416,2,0.3111,-0.0007,-0.0068,0.0153,-0.358,0.048,1.991,-0.0026,2204833700.607,inf,inf,12.3102,-8.1481,4,0.2222,0.4167,2,1,insufficient,47.8,0.8438,3.0,TOO_FEW_TRADES,865.4
UNI/USD,4h,crypto,9,4797,6,1,2025-09-10→2025-10-15 | 2025-10-16→2025-11-20 | 2025-11-21→2025-12-26 | 2025-12-26→2026-01-31 | 2026-01-31→2026-03-08 | 2026-03-08→2026-04-13,952,2941,904,6,0.4278,-0.0012,-0.0109,0.0516,-0.969,-0.699,0.949,-0.0067,1.325,0.763,1.259,25.2286,-20.3115,4,0.4444,0.1111,5,1,trend-only(44%),47.4,0.8438,3.0,- LOSS,1062.4
CRV/USD,4h,crypto,9,4798,6,2,2025-09-10→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-26 | 2025-12-27→2026-01-31 | 2026-01-31→2026-03-08 | 2026-03-08→2026-04-13,1003,2786,1009,5,0.2506,-0.0032,-0.0292,0.0721,-0.88,-0.579,-1.262,-0.0086,0.726,inf,inf,25.3998,-20.4554,4,0.2417,0.1667,4,2,trend-only(24%),47.4,0.7812,3.0,- LOSS,1051.9
RUNE/USD,4h,crypto,9,4798,6,2,2025-09-10→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-26 | 2025-12-27→2026-01-31 | 2026-01-31→2026-03-08 | 2026-03-08→2026-04-13,1062,2786,950,6,0.2585,-0.001,-0.008,0.0732,-1.172,0.365,3.662,-0.0059,0.953,1.205,1.546,21.5322,-14.0839,7,0.2333,0.2083,4,2,trend-only(23%),47.0,0.7812,3.0,- LOSS,1124.9
CRV/USD,1d,crypto,9,1729,6,1,2025-01-07→2025-03-24 | 2025-03-25→2025-06-09 | 2025-06-10→2025-08-25 | 2025-08-26→2025-11-10 | 2025-11-11→2026-01-26 | 2026-01-27→2026-04-13,253,1196,280,0,0.0833,0.0002,0.0044,0.0098,0.107,0.05,0.665,-0.0011,0.2,inf,inf,9.1588,-7.6193,1,0.0,0.0833,0,0,insufficient,45.3,0.5,3.0,TOO_FEW_TRADES,442.1
POL/USD,4h,crypto,9,3726,6,1,2025-10-28→2025-11-24 | 2025-11-25→2025-12-22 | 2025-12-22→2026-01-19 | 2026-01-19→2026-02-16 | 2026-02-16→2026-03-16 | 2026-03-16→2026-04-13,738,2387,601,3,0.3083,-0.0024,-0.0298,0.0499,-0.809,-0.304,6.238,-0.0069,7108480689.676,inf,inf,22.9268,-16.6455,4,0.1306,0.3333,2,1,insufficient,44.9,0.9062,3.0,TOO_FEW_TRADES,832.1
ADA/USD,4h,crypto,9,4796,6,2,2025-09-10→2025-10-15 | 2025-10-15→2025-11-20 | 2025-11-20→2025-12-26 | 2025-12-26→2026-01-31 | 2026-01-31→2026-03-08 | 2026-03-08→2026-04-13,850,3143,803,4,0.209,-0.0019,-0.0179,0.0413,-1.329,-0.355,-1.309,-0.0047,0.842,inf,inf,13.2764,-16.2368,5,0.2833,0.0833,2,1,insufficient,44.8,0.9062,3.0,TOO_FEW_TRADES,1107.6
S/USD,4h,crypto,9,1856,6,1,2026-01-20→2026-02-03 | 2026-02-03→2026-02-16 | 2026-02-17→2026-03-02 | 2026-03-02→2026-03-16 | 2026-03-16→2026-03-30 | 2026-03-30→2026-04-13,458,1092,306,1,0.1667,-0.0003,-0.0068,0.0443,-0.392,-0.236,0.642,-0.0015,4429063282.565,inf,inf,4.4291,-4.111,3,0.1667,0.0,0,0,insufficient,44.7,0.75,3.0,TOO_FEW_TRADES,384.2
FIL/USD,4h,crypto,9,4798,6,1,2025-09-10→2025-10-16 | 2025-10-16→2025-11-21 | 2025-11-21→2025-12-26 | 2025-12-27→2026-01-31 | 2026-01-31→2026-03-08 | 2026-03-08→2026-04-13,997,2951,850,8,0.3333,-0.0034,-0.032,0.0659,-1.182,-1.104,-1.355,-0.0131,1.054,0.514,1.783,41.4555,-23.3809,10,0.3722,0.0667,6,2,trend-only(37%),44.1,0.8906,3.0,- LOSS,918.3
